,F1-score
Class 0,0.091324200913242
Class 2,0.06779661016949154
Class 3,0.0
Class 4,0.10000000000000002
Class 6,0.10526315789473684
Class 7,0.0
Class 8,0.057142857142857134
Class 9,0.0
Class 10,0.0
Class 11,0.0
Class 12,0.1311475409836066
Class 13,0.04545454545454545
Class 14,0.0
Class 15,0.0851063829787234
Class 16,0.0
Class 17,0.0
Class 19,0.07407407407407407
Class 20,0.0
Class 21,0.0
Class 22,0.0
Class 23,0.026315789473684206
Class 24,0.0
Class 25,0.0
Class 26,0.0
Class 27,0.07692307692307693
Class 28,0.08695652173913043
Class 29,0.08888888888888888
Class 30,0.08
Class 31,0.13333333333333333
Class 32,0.0
Class 33,0.0967741935483871
Class 34,0.11111111111111112
Class 35,0.0
Class 36,0.06896551724137932
Class 37,0.0
Class 38,0.11428571428571427
Class 39,0.058823529411764705
Class 40,0.06896551724137931
Class 41,0.0
Class 42,0.13043478260869565
Class 43,0.16494845360824742
Class 44,0.08
Class 45,0.07142857142857142
Class 46,0.0
Class 47,0.12698412698412698
Class 48,0.0
Class 49,0.0
Class 50,0.0
Class 51,0.16326530612244897
Class 52,0.05714285714285714
Class 53,0.06451612903225806
Class 54,0.0
Class 55,0.11320754716981132
Class 56,0.0
Class 57,0.2413793103448276
Class 58,0.11764705882352941
Class 59,0.07407407407407407
Class 60,0.1739130434782609
Class 61,0.058823529411764705
Class 62,0.09302325581395349
Class 63,0.1509433962264151
Class 64,0.03773584905660377
Class 65,0.07692307692307691
Class 66,0.04878048780487805
Class 67,0.0
Class 68,0.0
Class 69,0.04081632653061224
Class 70,0.08
Class 71,0.0
Class 72,0.08163265306122448
Class 73,0.11111111111111112
Class 74,0.0
Class 75,0.0
Class 76,0.0
Class 77,0.0
Class 79,0.06451612903225806
Class 80,0.0
Class 81,0.0
Class 82,0.0
Class 83,0.06666666666666667
Class 84,0.07692307692307693
Class 85,0.059405940594059396
Class 86,0.07317073170731707
Class 87,0.06060606060606061
Class 88,0.0
Class 89,0.0
Class 90,0.0
Class 91,0.0
Class 92,0.0655737704918033
Class 93,0.12121212121212122
Class 94,0.0
Class 95,0.0
Class 96,0.01941747572815534
Class 97,0.0
Class 99,0.0
Class 100,0.0
Class 101,0.06896551724137931
Class 102,0.0
Class 103,0.046511627906976744
Class 104,0.049999999999999996
Class 105,0.0
Class 106,0.044444444444444446
Class 107,0.0
Class 108,0.06896551724137931
Class 109,0.0
Class 110,0.0
Class 111,0.0
Class 112,0.08695652173913042
Class 113,0.06451612903225806
Class 114,0.0
Class 115,0.0
Class 116,0.0
Class 118,0.0
Class 119,0.0
Class 120,0.10606060606060606
Class 121,0.0
Class 123,0.0
Class 124,0.0
Class 125,0.06976744186046512
Class 126,0.0
Class 129,0.0
Class 130,0.0
Class 131,0.0
Class 132,0.060606060606060615
Class 133,0.0
Class 134,0.0
Class 135,0.0
Class 136,0.0
Class 137,0.0
Class 138,0.0
Class 139,0.06666666666666667
Class 140,0.07947019867549669
Class 141,0.0
Class 142,0.033707865168539325
Class 143,0.0
Class 145,0.0
Class 148,0.0
Class 150,0.0
Class 151,0.03846153846153846
Class 152,0.0
Class 153,0.0
Class 154,0.07142857142857142
Class 155,0.0
Class 156,0.0
Class 157,0.0
Class 158,0.09523809523809523
Class 159,0.06779661016949153
Class 160,0.06666666666666667
Class 161,0.0
Class 162,0.0
Class 164,0.027777777777777776
Class 165,0.0
Class 166,0.0
Class 167,0.04545454545454545
Class 168,0.0
Class 169,0.11428571428571427
Class 170,0.0
Class 171,0.14285714285714285
Class 172,0.0
Class 173,0.0
Class 174,0.058823529411764705
Class 176,0.08333333333333333
Class 177,0.06451612903225808
Class 178,0.029850746268656712
Class 179,0.06666666666666667
Class 180,0.021739130434782608
Class 181,0.0
Class 182,0.07368421052631578
Class 183,0.05128205128205128
Class 184,0.029850746268656712
Class 185,0.0
Class 187,0.0
Class 192,0.0
Class 194,0.08
Class 196,0.06666666666666667
Class 197,0.0
Class 198,0.0
Class 199,0.10666666666666667
Class 200,0.07058823529411765
Class 201,0.0909090909090909
Class 202,0.0
Class 203,0.0
Class 205,0.06451612903225806
Class 206,0.0
Class 207,0.07692307692307693
Class 208,0.0
Class 209,0.17910447761194026
Class 210,0.09523809523809523
Class 211,0.0909090909090909
Class 213,0.08888888888888889
Class 214,0.0
Class 215,0.08695652173913043
Class 216,0.0
Class 217,0.038461538461538464
Class 218,0.07874015748031496
Class 219,0.10526315789473684
Class 220,0.0
Class 221,0.0
Class 222,0.0
Class 223,0.04878048780487805
Class 224,0.0
Class 226,0.0
Class 227,0.05263157894736842
Class 228,0.0
Class 229,0.0625
Class 230,0.0
Class 231,0.10256410256410256
Class 232,0.0
Class 234,0.0
Class 236,0.05882352941176471
Class 237,0.0
Class 239,0.0
Class 240,0.2
Class 241,0.0
Class 242,0.0
Class 243,0.12403100775193798
Class 244,0.0
Class 245,0.0
Class 246,0.0
Class 247,0.10526315789473684
Class 248,0.0
Class 249,0.0
Class 250,0.0
Class 251,0.09195402298850575
Class 252,0.06060606060606061
Class 253,0.03225806451612903
Class 255,0.0
Class 256,0.13636363636363635
Class 257,0.07894736842105263
Class 259,0.15151515151515152
Class 260,0.125
Class 261,0.07142857142857142
Class 262,0.15384615384615383
Class 263,0.0
Class 264,0.19607843137254902
Class 265,0.0
Class 266,0.16216216216216214
Class 267,0.13953488372093023
Class 269,0.06451612903225806
Class 270,0.0821917808219178
Class 271,0.08888888888888888
Class 272,0.20833333333333334
Class 273,0.08955223880597013
Class 275,0.0
Class 277,0.08888888888888889
Class 278,0.06451612903225806
Class 279,0.0
Class 280,0.05405405405405405
Class 281,0.0
Class 282,0.07142857142857144
Class 283,0.0
Class 284,0.0
Class 285,0.0
Class 286,0.0
Class 287,0.10389610389610389
Class 289,0.0
Class 290,0.029850746268656712
Class 291,0.0
Class 292,0.06666666666666667
Class 293,0.0392156862745098
Class 294,0.0
Class 295,0.1111111111111111
Class 297,0.0
Class 298,0.0
Class 299,0.07407407407407407
Class 300,0.059829059829059825
Class 301,0.0
Class 302,0.14814814814814817
Class 305,0.07692307692307691
Class 306,0.03846153846153846
Class 307,0.07142857142857142
Class 308,0.07692307692307693
Class 309,0.0
Class 310,0.057971014492753624
Class 311,0.1311475409836066
Class 312,0.08888888888888889
Class 313,0.0
Class 314,0.08333333333333333
Class 316,0.07407407407407407
Class 317,0.08571428571428572
Class 318,0.0
Class 319,0.13333333333333333
Class 320,0.08333333333333334
Class 321,0.08955223880597013
Class 322,0.0625
Class 324,0.0
Class 325,0.15
Class 326,0.08333333333333334
Class 327,0.0
Class 329,0.0
Class 330,0.047058823529411764
Class 331,0.057142857142857134
Class 332,0.0
Class 333,0.0
Class 335,0.0
Class 336,0.0
Class 337,0.0
Class 338,0.03571428571428571
Class 339,0.0625
Class 340,0.0
Class 341,0.0
Class 342,0.05479452054794521
Class 343,0.05660377358490566
Class 344,0.0
Class 345,0.11428571428571427
Class 346,0.0
Class 347,0.0
Class 348,0.08695652173913043
Class 349,0.0
Class 350,0.0
Class 351,0.04545454545454545
Class 352,0.0
Class 353,0.10526315789473685
Class 354,0.0
Class 355,0.09195402298850575
Class 356,0.0
Class 357,0.125
Class 358,0.0
Class 359,0.0
Class 360,0.0625
Class 361,0.08163265306122448
Class 362,0.07017543859649122
Class 363,0.03225806451612903
Class 364,0.07142857142857142
Class 365,0.0425531914893617
Class 366,0.0
Class 368,0.0
Class 369,0.060606060606060615
Class 370,0.0
Class 371,0.0
Class 372,0.06451612903225806
Class 374,0.060606060606060615
Class 375,0.0
Class 376,0.0
Class 377,0.0
Class 378,0.0
Class 379,0.0
Class 380,0.14
Class 381,0.0
Class 382,0.0
Class 383,0.0
Class 384,0.0425531914893617
Class 386,0.2
Class 387,0.08695652173913042
Class 392,0.12121212121212123
Class 393,0.20408163265306123
Class 394,0.0
