,Precision
Class 0,0.050505050505050504
Class 2,0.05405405405405406
Class 3,0.0
Class 4,0.1
Class 6,0.11764705882352941
Class 7,0.0
Class 8,0.07142857142857142
Class 9,0.0
Class 10,0.0
Class 11,0.0
Class 12,0.1
Class 13,0.043478260869565216
Class 14,0.0
Class 15,0.07692307692307693
Class 16,0.0
Class 17,0.0
Class 19,0.06060606060606061
Class 20,0.0
Class 21,0.0
Class 22,0.0
Class 23,0.017857142857142856
Class 24,0.0
Class 25,0.0
Class 26,0.0
Class 27,0.14285714285714285
Class 28,0.08333333333333333
Class 29,0.05714285714285714
Class 30,0.25
Class 31,0.125
Class 32,0.0
Class 33,0.07317073170731707
Class 34,0.07246376811594203
Class 35,0.0
Class 36,0.1111111111111111
Class 37,0.0
Class 38,0.14285714285714285
Class 39,0.07692307692307693
Class 40,0.125
Class 41,0.0
Class 42,0.12
Class 43,0.10526315789473684
Class 44,0.25
Class 45,0.14285714285714285
Class 46,0.0
Class 47,0.09523809523809523
Class 48,0.0
Class 49,0.0
Class 50,0.0
Class 51,0.14285714285714285
Class 52,0.04081632653061224
Class 53,0.1
Class 54,0.0
Class 55,0.09375
Class 56,0.0
Class 57,0.1794871794871795
Class 58,0.15384615384615385
Class 59,0.06060606060606061
Class 60,0.6666666666666666
Class 61,0.07692307692307693
Class 62,0.09090909090909091
Class 63,0.125
Class 64,0.03125
Class 65,0.16666666666666666
Class 66,0.05263157894736842
Class 67,0.0
Class 68,0.0
Class 69,0.03571428571428571
Class 70,0.25
Class 71,0.0
Class 72,0.07142857142857142
Class 73,0.07246376811594203
Class 74,0.0
Class 75,0.0
Class 76,0.0
Class 77,0.0
Class 79,0.1
Class 80,0.0
Class 81,0.0
Class 82,0.0
Class 83,0.1111111111111111
Class 84,0.05263157894736842
Class 85,0.0375
Class 86,0.04918032786885246
Class 87,0.044444444444444446
Class 88,0.0
Class 89,0.0
Class 90,0.0
Class 91,0.0
Class 92,0.05
Class 93,0.08888888888888889
Class 94,0.0
Class 95,0.0
Class 96,0.012195121951219513
Class 97,0.0
Class 99,0.0
Class 100,0.0
Class 101,0.125
Class 102,0.0
Class 103,0.03076923076923077
Class 104,0.05555555555555555
Class 105,0.0
Class 106,0.041666666666666664
Class 107,0.0
Class 108,0.125
Class 109,0.0
Class 110,0.0
Class 111,0.0
Class 112,0.5
Class 113,0.1
Class 114,0.0
Class 115,0.0
Class 116,0.0
Class 118,0.0
Class 119,0.0
Class 120,0.06306306306306306
Class 121,0.0
Class 123,0.0
Class 124,0.0
Class 125,0.046153846153846156
Class 126,0.0
Class 129,0.0
Class 130,0.0
Class 131,0.0
Class 132,0.08333333333333333
Class 133,0.0
Class 134,0.0
Class 135,0.0
Class 136,0.0
Class 137,0.0
Class 138,0.0
Class 139,0.1111111111111111
Class 140,0.046153846153846156
Class 141,0.0
Class 142,0.01910828025477707
Class 143,0.0
Class 145,0.0
Class 148,0.0
Class 150,0.0
Class 151,0.03333333333333333
Class 152,0.0
Class 153,0.0
Class 154,0.14285714285714285
Class 155,0.0
Class 156,0.0
Class 157,0.0
Class 158,0.09523809523809523
Class 159,0.041237113402061855
Class 160,0.05128205128205128
Class 161,0.0
Class 162,0.0
Class 164,0.0196078431372549
Class 165,0.0
Class 166,0.0
Class 167,0.043478260869565216
Class 168,0.0
Class 169,0.14285714285714285
Class 170,0.0
Class 171,0.14285714285714285
Class 172,0.0
Class 173,0.0
Class 174,0.07692307692307693
Class 176,0.05333333333333334
Class 177,0.04878048780487805
Class 178,0.021739130434782608
Class 179,0.1111111111111111
Class 180,0.014084507042253521
Class 181,0.0
Class 182,0.041666666666666664
Class 183,0.05555555555555555
Class 184,0.021739130434782608
Class 185,0.0
Class 187,0.0
Class 192,0.0
Class 194,0.25
Class 196,0.1
Class 197,0.0
Class 198,0.0
Class 199,0.07407407407407407
Class 200,0.046875
Class 201,0.08333333333333333
Class 202,0.0
Class 203,0.0
Class 205,0.1
Class 206,0.0
Class 207,0.2
Class 208,0.0
Class 209,0.1276595744680851
Class 210,0.07142857142857142
Class 211,0.08333333333333333
Class 213,0.08333333333333333
Class 214,0.0
Class 215,0.08
Class 216,0.0
Class 217,0.03125
Class 218,0.04716981132075472
Class 219,0.11764705882352941
Class 220,0.0
Class 221,0.0
Class 222,0.0
Class 223,0.05
Class 224,0.0
Class 226,0.0
Class 227,0.058823529411764705
Class 228,0.0
Class 229,0.09090909090909091
Class 230,0.0
Class 231,0.0625
Class 232,0.0
Class 234,0.0
Class 236,0.08333333333333333
Class 237,0.0
Class 239,0.0
Class 240,0.3333333333333333
Class 241,0.0
Class 242,0.0
Class 243,0.07407407407407407
Class 244,0.0
Class 245,0.0
Class 246,0.0
Class 247,0.11764705882352941
Class 248,0.0
Class 249,0.0
Class 250,0.0
Class 251,0.05970149253731343
Class 252,0.044444444444444446
Class 253,0.023809523809523808
Class 255,0.0
Class 256,0.13043478260869565
Class 257,0.05454545454545454
Class 259,0.10869565217391304
Class 260,0.15384615384615385
Class 261,0.1111111111111111
Class 262,0.16666666666666666
Class 263,0.0
Class 264,0.16666666666666666
Class 265,0.0
Class 266,0.17647058823529413
Class 267,0.13043478260869565
Class 269,0.1
Class 270,0.05357142857142857
Class 271,0.09090909090909091
Class 272,0.18518518518518517
Class 273,0.06382978723404255
Class 275,0.0
Class 277,0.08333333333333333
Class 278,0.1
Class 279,0.0
Class 280,0.0625
Class 281,0.0
Class 282,0.04395604395604396
Class 283,0.0
Class 284,0.0
Class 285,0.0
Class 286,0.0
Class 287,0.07142857142857142
Class 289,0.0
Class 290,0.021739130434782608
Class 291,0.0
Class 292,0.1
Class 293,0.03333333333333333
Class 294,0.0
Class 295,0.13333333333333333
Class 297,0.0
Class 298,0.0
Class 299,0.16666666666666666
Class 300,0.03225806451612903
Class 301,0.0
Class 302,0.2857142857142857
Class 305,0.16666666666666666
Class 306,0.03225806451612903
Class 307,0.14285714285714285
Class 308,0.2
Class 309,0.0
Class 310,0.041666666666666664
Class 311,0.1
Class 312,0.08333333333333333
Class 313,0.0
Class 314,0.3333333333333333
Class 316,0.2
Class 317,0.06
Class 318,0.0
Class 319,0.10256410256410256
Class 320,0.1111111111111111
Class 321,0.06521739130434782
Class 322,0.09090909090909091
Class 324,0.0
Class 325,0.14285714285714285
Class 326,0.07692307692307693
Class 327,0.0
Class 329,0.0
Class 330,0.03125
Class 331,0.07142857142857142
Class 332,0.0
Class 333,0.0
Class 335,0.0
Class 336,0.0
Class 337,0.0
Class 338,0.02857142857142857
Class 339,0.09090909090909091
Class 340,0.0
Class 341,0.0
Class 342,0.038461538461538464
Class 343,0.03529411764705882
Class 344,0.0
Class 345,0.14285714285714285
Class 346,0.0
Class 347,0.0
Class 348,0.08
Class 349,0.0
Class 350,0.0
Class 351,0.043478260869565216
Class 352,0.0
Class 353,0.1111111111111111
Class 354,0.0
Class 355,0.06060606060606061
Class 356,0.0
Class 357,0.1111111111111111
Class 358,0.0
Class 359,0.0
Class 360,0.03571428571428571
Class 361,0.06896551724137931
Class 362,0.05714285714285714
Class 363,0.025
Class 364,0.05555555555555555
Class 365,0.04
Class 366,0.0
Class 368,0.0
Class 369,0.07692307692307693
Class 370,0.0
Class 371,0.0
Class 372,0.1
Class 374,0.038461538461538464
Class 375,0.0
Class 376,0.0
Class 377,0.0
Class 378,0.0
Class 379,0.0
Class 380,0.08860759493670886
Class 381,0.0
Class 382,0.0
Class 383,0.0
Class 384,0.04
Class 386,0.13559322033898305
Class 387,0.5
Class 392,0.16666666666666666
Class 393,0.1724137931034483
Class 394,0.0
