,Recall
Class 0,0.47619047619047616
Class 2,0.09090909090909091
Class 3,0.0
Class 4,0.1
Class 6,0.09523809523809523
Class 7,0.0
Class 8,0.047619047619047616
Class 9,0.0
Class 10,0.0
Class 11,0.0
Class 12,0.19047619047619047
Class 13,0.047619047619047616
Class 14,0.0
Class 15,0.09523809523809523
Class 16,0.0
Class 17,0.0
Class 19,0.09523809523809523
Class 20,0.0
Class 21,0.0
Class 22,0.0
Class 23,0.05
Class 24,0.0
Class 25,0.0
Class 26,0.0
Class 27,0.05263157894736842
Class 28,0.09090909090909091
Class 29,0.2
Class 30,0.047619047619047616
Class 31,0.14285714285714285
Class 32,0.0
Class 33,0.14285714285714285
Class 34,0.23809523809523808
Class 35,0.0
Class 36,0.05
Class 37,0.0
Class 38,0.09523809523809523
Class 39,0.047619047619047616
Class 40,0.047619047619047616
Class 41,0.0
Class 42,0.14285714285714285
Class 43,0.38095238095238093
Class 44,0.047619047619047616
Class 45,0.047619047619047616
Class 46,0.0
Class 47,0.19047619047619047
Class 48,0.0
Class 49,0.0
Class 50,0.0
Class 51,0.19047619047619047
Class 52,0.09523809523809523
Class 53,0.047619047619047616
Class 54,0.0
Class 55,0.14285714285714285
Class 56,0.0
Class 57,0.3684210526315789
Class 58,0.09523809523809523
Class 59,0.09523809523809523
Class 60,0.1
Class 61,0.047619047619047616
Class 62,0.09523809523809523
Class 63,0.19047619047619047
Class 64,0.047619047619047616
Class 65,0.05
Class 66,0.045454545454545456
Class 67,0.0
Class 68,0.0
Class 69,0.047619047619047616
Class 70,0.047619047619047616
Class 71,0.0
Class 72,0.09523809523809523
Class 73,0.23809523809523808
Class 74,0.0
Class 75,0.0
Class 76,0.0
Class 77,0.0
Class 79,0.047619047619047616
Class 80,0.0
Class 81,0.0
Class 82,0.0
Class 83,0.047619047619047616
Class 84,0.14285714285714285
Class 85,0.14285714285714285
Class 86,0.14285714285714285
Class 87,0.09523809523809523
Class 88,0.0
Class 89,0.0
Class 90,0.0
Class 91,0.0
Class 92,0.09523809523809523
Class 93,0.19047619047619047
Class 94,0.0
Class 95,0.0
Class 96,0.047619047619047616
Class 97,0.0
Class 99,0.0
Class 100,0.0
Class 101,0.047619047619047616
Class 102,0.0
Class 103,0.09523809523809523
Class 104,0.045454545454545456
Class 105,0.0
Class 106,0.047619047619047616
Class 107,0.0
Class 108,0.047619047619047616
Class 109,0.0
Class 110,0.0
Class 111,0.0
Class 112,0.047619047619047616
Class 113,0.047619047619047616
Class 114,0.0
Class 115,0.0
Class 116,0.0
Class 118,0.0
Class 119,0.0
Class 120,0.3333333333333333
Class 121,0.0
Class 123,0.0
Class 124,0.0
Class 125,0.14285714285714285
Class 126,0.0
Class 129,0.0
Class 130,0.0
Class 131,0.0
Class 132,0.047619047619047616
Class 133,0.0
Class 134,0.0
Class 135,0.0
Class 136,0.0
Class 137,0.0
Class 138,0.0
Class 139,0.047619047619047616
Class 140,0.2857142857142857
Class 141,0.0
Class 142,0.14285714285714285
Class 143,0.0
Class 145,0.0
Class 148,0.0
Class 150,0.0
Class 151,0.045454545454545456
Class 152,0.0
Class 153,0.0
Class 154,0.047619047619047616
Class 155,0.0
Class 156,0.0
Class 157,0.0
Class 158,0.09523809523809523
Class 159,0.19047619047619047
Class 160,0.09523809523809523
Class 161,0.0
Class 162,0.0
Class 164,0.047619047619047616
Class 165,0.0
Class 166,0.0
Class 167,0.047619047619047616
Class 168,0.0
Class 169,0.09523809523809523
Class 170,0.0
Class 171,0.14285714285714285
Class 172,0.0
Class 173,0.0
Class 174,0.047619047619047616
Class 176,0.19047619047619047
Class 177,0.09523809523809523
Class 178,0.047619047619047616
Class 179,0.047619047619047616
Class 180,0.047619047619047616
Class 181,0.0
Class 182,0.3181818181818182
Class 183,0.047619047619047616
Class 184,0.047619047619047616
Class 185,0.0
Class 187,0.0
Class 192,0.0
Class 194,0.047619047619047616
Class 196,0.05
Class 197,0.0
Class 198,0.0
Class 199,0.19047619047619047
Class 200,0.14285714285714285
Class 201,0.1
Class 202,0.0
Class 203,0.0
Class 205,0.047619047619047616
Class 206,0.0
Class 207,0.047619047619047616
Class 208,0.0
Class 209,0.3
Class 210,0.14285714285714285
Class 211,0.1
Class 213,0.09523809523809523
Class 214,0.0
Class 215,0.09523809523809523
Class 216,0.0
Class 217,0.05
Class 218,0.23809523809523808
Class 219,0.09523809523809523
Class 220,0.0
Class 221,0.0
Class 222,0.0
Class 223,0.047619047619047616
Class 224,0.0
Class 226,0.0
Class 227,0.047619047619047616
Class 228,0.0
Class 229,0.047619047619047616
Class 230,0.0
Class 231,0.2857142857142857
Class 232,0.0
Class 234,0.0
Class 236,0.045454545454545456
Class 237,0.0
Class 239,0.0
Class 240,0.14285714285714285
Class 241,0.0
Class 242,0.0
Class 243,0.38095238095238093
Class 244,0.0
Class 245,0.0
Class 246,0.0
Class 247,0.09523809523809523
Class 248,0.0
Class 249,0.0
Class 250,0.0
Class 251,0.2
Class 252,0.09523809523809523
Class 253,0.05
Class 255,0.0
Class 256,0.14285714285714285
Class 257,0.14285714285714285
Class 259,0.25
Class 260,0.10526315789473684
Class 261,0.05263157894736842
Class 262,0.14285714285714285
Class 263,0.0
Class 264,0.23809523809523808
Class 265,0.0
Class 266,0.15
Class 267,0.15
Class 269,0.047619047619047616
Class 270,0.17647058823529413
Class 271,0.08695652173913043
Class 272,0.23809523809523808
Class 273,0.15
Class 275,0.0
Class 277,0.09523809523809523
Class 278,0.047619047619047616
Class 279,0.0
Class 280,0.047619047619047616
Class 281,0.0
Class 282,0.19047619047619047
Class 283,0.0
Class 284,0.0
Class 285,0.0
Class 286,0.0
Class 287,0.19047619047619047
Class 289,0.0
Class 290,0.047619047619047616
Class 291,0.0
Class 292,0.05
Class 293,0.047619047619047616
Class 294,0.0
Class 295,0.09523809523809523
