,precision,recall,f1-score,support
Class 0,0.0025,0.09523809523809523,0.0048721071863581,21.0
Class 1,0.027906976744186046,0.2857142857142857,0.050847457627118633,21.0
Class 2,0.0,0.0,0.0,22.0
Class 9,0.0,0.0,0.0,21.0
Class 12,0.024205748865355523,0.7619047619047619,0.0469208211143695,21.0
Class 16,0.0,0.0,0.0,21.0
Class 29,0.0,0.0,0.0,20.0
Class 57,0.05555555555555555,0.21052631578947367,0.0879120879120879,19.0
Class 59,0.06134969325153374,0.47619047619047616,0.10869565217391305,21.0
Class 60,0.0,0.0,0.0,20.0
Class 69,0.007246376811594203,0.14285714285714285,0.01379310344827586,21.0
Class 149,0.0,0.0,0.0,21.0
Class 167,0.016042780748663103,0.14285714285714285,0.028846153846153848,21.0
Class 176,0.0,0.0,0.0,21.0
Class 179,0.024615384615384615,0.38095238095238093,0.04624277456647399,21.0
Class 180,0.0,0.0,0.0,21.0
Class 181,0.006211180124223602,0.047619047619047616,0.01098901098901099,21.0
Class 200,0.09243697478991597,0.5238095238095238,0.15714285714285717,21.0
Class 209,0.20833333333333334,0.25,0.22727272727272727,20.0
Class 210,0.02702702702702703,0.047619047619047616,0.034482758620689655,21.0
Class 213,0.010067114093959731,0.14285714285714285,0.018808777429467086,21.0
Class 214,0.0,0.0,0.0,22.0
Class 219,0.0,0.0,0.0,21.0
Class 222,0.03365384615384615,0.7,0.06422018348623852,20.0
Class 223,0.2,0.047619047619047616,0.07692307692307693,21.0
Class 224,0.0,0.0,0.0,21.0
Class 229,0.0,0.0,0.0,21.0
Class 239,0.0,0.0,0.0,23.0
Class 240,0.0,0.0,0.0,21.0
Class 241,0.04639175257731959,0.4090909090909091,0.08333333333333334,22.0
Class 244,0.1,0.047619047619047616,0.06451612903225806,21.0
Class 249,0.125,0.1,0.11111111111111112,20.0
Class 250,0.058823529411764705,0.14285714285714285,0.08333333333333333,21.0
Class 251,0.0,0.0,0.0,20.0
Class 252,0.0,0.0,0.0,21.0
Class 260,0.14285714285714285,0.10526315789473684,0.12121212121212122,19.0
Class 261,0.09375,0.15789473684210525,0.11764705882352941,19.0
Class 262,0.18055555555555555,0.6190476190476191,0.27956989247311825,21.0
Class 264,0.12962962962962962,0.3333333333333333,0.18666666666666668,21.0
Class 269,0.12222222222222222,0.5238095238095238,0.19819819819819817,21.0
