=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 5.848 | Training Accuracy: 0.03%
Epoch: [  2| 30] | Training Loss: 5.735 | Training Accuracy: 0.05%
Epoch: [  3| 30] | Training Loss: 5.767 | Training Accuracy: 0.05%
Epoch: [  4| 30] | Training Loss: 5.369 | Training Accuracy: 0.06%
Epoch: [  5| 30] | Training Loss: 5.171 | Training Accuracy: 0.06%
Epoch: [  6| 30] | Training Loss: 5.082 | Training Accuracy: 0.07%
Epoch: [  7| 30] | Training Loss: 5.528 | Training Accuracy: 0.08%
Epoch: [  8| 30] | Training Loss: 4.739 | Training Accuracy: 0.09%
Epoch: [  9| 30] | Training Loss: 4.514 | Training Accuracy: 0.08%
Epoch: [ 10| 30] | Training Loss: 4.445 | Training Accuracy: 0.09%
Epoch: [ 11| 30] | Training Loss: 5.288 | Training Accuracy: 0.08%
Epoch: [ 12| 30] | Training Loss: 4.452 | Training Accuracy: 0.10%
Epoch: [ 13| 30] | Training Loss: 4.953 | Training Accuracy: 0.10%
Epoch: [ 14| 30] | Training Loss: 4.904 | Training Accuracy: 0.11%
Epoch: [ 15| 30] | Training Loss: 4.276 | Training Accuracy: 0.12%
Epoch: [ 16| 30] | Training Loss: 4.111 | Training Accuracy: 0.14%
Epoch: [ 17| 30] | Training Loss: 4.588 | Training Accuracy: 0.15%
Epoch: [ 18| 30] | Training Loss: 4.427 | Training Accuracy: 0.13%
Epoch: [ 19| 30] | Training Loss: 4.817 | Training Accuracy: 0.16%
Epoch: [ 20| 30] | Training Loss: 4.787 | Training Accuracy: 0.16%
Epoch: [ 21| 30] | Training Loss: 4.637 | Training Accuracy: 0.21%
Epoch: [ 22| 30] | Training Loss: 4.008 | Training Accuracy: 0.22%
Epoch: [ 23| 30] | Training Loss: 4.381 | Training Accuracy: 0.20%
Epoch: [ 24| 30] | Training Loss: 3.914 | Training Accuracy: 0.22%
Epoch: [ 25| 30] | Training Loss: 4.172 | Training Accuracy: 0.23%
Epoch: [ 26| 30] | Training Loss: 3.330 | Training Accuracy: 0.25%
Epoch: [ 27| 30] | Training Loss: 4.596 | Training Accuracy: 0.20%
Epoch: [ 28| 30] | Training Loss: 4.350 | Training Accuracy: 0.21%
Epoch: [ 29| 30] | Training Loss: 3.650 | Training Accuracy: 0.24%
Epoch: [ 30| 30] | Training Loss: 5.163 | Training Accuracy: 0.26%
