,F1-score
Class 0,0.0048721071863581
Class 1,0.050847457627118633
Class 2,0.0
Class 9,0.0
Class 12,0.0469208211143695
Class 16,0.0
Class 29,0.0
Class 57,0.0879120879120879
Class 59,0.10869565217391305
Class 60,0.0
Class 69,0.01379310344827586
Class 149,0.0
Class 167,0.028846153846153848
Class 176,0.0
Class 179,0.04624277456647399
Class 180,0.0
Class 181,0.01098901098901099
Class 200,0.15714285714285717
Class 209,0.22727272727272727
Class 210,0.034482758620689655
Class 213,0.018808777429467086
Class 214,0.0
Class 219,0.0
Class 222,0.06422018348623852
Class 223,0.07692307692307693
Class 224,0.0
Class 229,0.0
Class 239,0.0
Class 240,0.0
Class 241,0.08333333333333334
Class 244,0.06451612903225806
Class 249,0.11111111111111112
Class 250,0.08333333333333333
Class 251,0.0
Class 252,0.0
Class 260,0.12121212121212122
Class 261,0.11764705882352941
Class 262,0.27956989247311825
Class 264,0.18666666666666668
Class 269,0.19819819819819817
Class 270,0.14634146341463414
Class 273,0.04878048780487805
Class 274,0.048484848484848485
Class 275,0.0
Class 276,0.0
Class 277,0.0625
Class 279,0.0
Class 282,0.0
Class 283,0.0
Class 284,0.0
Class 285,0.0
Class 287,0.053097345132743355
Class 288,0.031746031746031744
Class 289,0.0
Class 290,0.050955414012738856
Class 297,0.08695652173913043
Class 298,0.0
Class 299,0.11538461538461538
Class 303,0.0425531914893617
Class 306,0.0
Class 307,0.1081081081081081
Class 308,0.0
Class 309,0.0
Class 312,0.0
Class 322,0.03225806451612904
Class 326,0.06896551724137931
Class 334,0.0
Class 339,0.0
Class 343,0.0
Class 344,0.0
Class 345,0.0
Class 347,0.0
Class 348,0.0
Class 349,0.017543859649122806
Class 350,0.07142857142857142
Class 351,0.05405405405405405
Class 353,0.07692307692307691
Class 354,0.0625
Class 355,0.0625
Class 357,0.0
Class 359,0.12121212121212123
Class 360,0.16
Class 361,0.0
Class 362,0.0
Class 363,0.06944444444444443
Class 364,0.06
Class 366,0.16
Class 367,0.08000000000000002
Class 370,0.0
Class 371,0.1081081081081081
Class 372,0.0
Class 379,0.0
Class 380,0.041666666666666664
Class 382,0.0
Class 383,0.0
Class 386,0.0
Class 387,0.0
Class 389,0.0855614973262032
Class 390,0.17283950617283952
Class 392,0.0
Class 393,0.0
