,Precision
Class 0,0.0025
Class 1,0.027906976744186046
Class 2,0.0
Class 9,0.0
Class 12,0.024205748865355523
Class 16,0.0
Class 29,0.0
Class 57,0.05555555555555555
Class 59,0.06134969325153374
Class 60,0.0
Class 69,0.007246376811594203
Class 149,0.0
Class 167,0.016042780748663103
Class 176,0.0
Class 179,0.024615384615384615
Class 180,0.0
Class 181,0.006211180124223602
Class 200,0.09243697478991597
Class 209,0.20833333333333334
Class 210,0.02702702702702703
Class 213,0.010067114093959731
Class 214,0.0
Class 219,0.0
Class 222,0.03365384615384615
Class 223,0.2
Class 224,0.0
Class 229,0.0
Class 239,0.0
Class 240,0.0
Class 241,0.04639175257731959
Class 244,0.1
Class 249,0.125
Class 250,0.058823529411764705
Class 251,0.0
Class 252,0.0
Class 260,0.14285714285714285
Class 261,0.09375
Class 262,0.18055555555555555
Class 264,0.12962962962962962
Class 269,0.12222222222222222
Class 270,0.125
Class 273,0.03225806451612903
Class 274,0.027777777777777776
Class 275,0.0
Class 276,0.0
Class 277,0.09090909090909091
Class 279,0.0
Class 282,0.0
Class 283,0.0
Class 284,0.0
Class 285,0.0
Class 287,0.03260869565217391
Class 288,0.023809523809523808
Class 289,0.0
Class 290,0.027303754266211604
Class 297,0.049079754601226995
Class 298,0.0
Class 299,0.0967741935483871
Class 303,0.038461538461538464
Class 306,0.0
Class 307,0.125
Class 308,0.0
Class 309,0.0
Class 312,0.0
Class 322,0.024390243902439025
Class 326,0.14285714285714285
Class 334,0.0
Class 339,0.0
Class 343,0.0
Class 344,0.0
Class 345,0.0
Class 347,0.0
Class 348,0.0
Class 349,0.010752688172043012
Class 350,0.14285714285714285
Class 351,0.0625
Class 353,0.16666666666666666
Class 354,0.09090909090909091
Class 355,0.09090909090909091
Class 357,0.0
Class 359,0.16666666666666666
Class 360,0.2222222222222222
Class 361,0.0
Class 362,0.0
Class 363,0.040983606557377046
Class 364,0.0375
Class 366,0.13793103448275862
Class 367,0.05
Class 370,0.0
Class 371,0.125
Class 372,0.0
Class 379,0.0
Class 380,0.037037037037037035
Class 382,0.0
Class 383,0.0
Class 386,0.0
Class 387,0.0
Class 389,0.04519774011299435
Class 390,0.11666666666666667
Class 392,0.0
Class 393,0.0
