,Recall
Class 0,0.09523809523809523
Class 1,0.2857142857142857
Class 2,0.0
Class 9,0.0
Class 12,0.7619047619047619
Class 16,0.0
Class 29,0.0
Class 57,0.21052631578947367
Class 59,0.47619047619047616
Class 60,0.0
Class 69,0.14285714285714285
Class 149,0.0
Class 167,0.14285714285714285
Class 176,0.0
Class 179,0.38095238095238093
Class 180,0.0
Class 181,0.047619047619047616
Class 200,0.5238095238095238
Class 209,0.25
Class 210,0.047619047619047616
Class 213,0.14285714285714285
Class 214,0.0
Class 219,0.0
Class 222,0.7
Class 223,0.047619047619047616
Class 224,0.0
Class 229,0.0
Class 239,0.0
Class 240,0.0
Class 241,0.4090909090909091
Class 244,0.047619047619047616
Class 249,0.1
Class 250,0.14285714285714285
Class 251,0.0
Class 252,0.0
Class 260,0.10526315789473684
Class 261,0.15789473684210525
Class 262,0.6190476190476191
Class 264,0.3333333333333333
Class 269,0.5238095238095238
Class 270,0.17647058823529413
Class 273,0.1
Class 274,0.19047619047619047
Class 275,0.0
Class 276,0.0
Class 277,0.047619047619047616
Class 279,0.0
Class 282,0.0
Class 283,0.0
Class 284,0.0
Class 285,0.0
Class 287,0.14285714285714285
Class 288,0.047619047619047616
Class 289,0.0
Class 290,0.38095238095238093
Class 297,0.38095238095238093
Class 298,0.0
Class 299,0.14285714285714285
Class 303,0.047619047619047616
Class 306,0.0
Class 307,0.09523809523809523
Class 308,0.0
Class 309,0.0
Class 312,0.0
Class 322,0.047619047619047616
Class 326,0.045454545454545456
Class 334,0.0
Class 339,0.0
Class 343,0.0
Class 344,0.0
Class 345,0.0
Class 347,0.0
Class 348,0.0
Class 349,0.047619047619047616
Class 350,0.047619047619047616
Class 351,0.047619047619047616
Class 353,0.05
Class 354,0.047619047619047616
Class 355,0.047619047619047616
Class 357,0.0
Class 359,0.09523809523809523
Class 360,0.125
Class 361,0.0
Class 362,0.0
Class 363,0.22727272727272727
Class 364,0.15
Class 366,0.19047619047619047
Class 367,0.2
Class 370,0.0
Class 371,0.09523809523809523
Class 372,0.0
Class 379,0.0
Class 380,0.047619047619047616
Class 382,0.0
Class 383,0.0
Class 386,0.0
Class 387,0.0
Class 389,0.8
Class 390,0.3333333333333333
Class 392,0.0
Class 393,0.0
