Epoch 1 - Loss: 0.064, MAE: 0.282, R²: 0.848, LR: 0.001
Epoch 2 - Loss: 0.101, MAE: 0.283, R²: 0.849, LR: 0.001
Epoch 3 - Loss: 0.060, MAE: 0.248, R²: 0.874, LR: 0.001
Epoch 4 - Loss: 0.263, MAE: 0.253, R²: 0.863, LR: 0.001
Epoch 5 - Loss: 0.076, MAE: 0.243, R²: 0.876, LR: 0.001
Epoch 6 - Loss: 0.157, MAE: 0.261, R²: 0.864, LR: 0.001
Epoch 7 - Loss: 0.087, MAE: 0.241, R²: 0.873, LR: 0.001
Epoch 8 - Loss: 0.106, MAE: 0.239, R²: 0.873, LR: 0.001
Epoch 9 - Loss: 0.070, MAE: 0.248, R²: 0.864, LR: 0.001
Epoch 10 - Loss: 0.047, MAE: 0.236, R²: 0.880, LR: 0.001
Epoch 11 - Loss: 0.105, MAE: 0.246, R²: 0.866, LR: 0.001
Epoch 12 - Loss: 0.042, MAE: 0.243, R²: 0.874, LR: 0.001
Epoch 13 - Loss: 0.057, MAE: 0.240, R²: 0.877, LR: 0.001
Epoch 14 - Loss: 0.024, MAE: 0.238, R²: 0.877, LR: 0.001
Epoch 15 - Loss: 0.118, MAE: 0.233, R²: 0.879, LR: 0.001
Epoch 16 - Loss: 0.041, MAE: 0.248, R²: 0.869, LR: 0.001
Epoch 17 - Loss: 0.043, MAE: 0.237, R²: 0.877, LR: 0.001
Epoch 18 - Loss: 0.073, MAE: 0.241, R²: 0.877, LR: 0.001
Epoch 19 - Loss: 0.099, MAE: 0.235, R²: 0.880, LR: 0.001
Epoch 20 - Loss: 0.249, MAE: 0.238, R²: 0.876, LR: 0.001
Epoch 21 - Loss: 0.079, MAE: 0.244, R²: 0.871, LR: 0.001
Epoch 22 - Loss: 0.067, MAE: 0.238, R²: 0.875, LR: 0.001
Epoch 23 - Loss: 0.063, MAE: 0.238, R²: 0.876, LR: 0.001
Epoch 24 - Loss: 0.061, MAE: 0.240, R²: 0.877, LR: 0.001
Epoch 25 - Loss: 0.117, MAE: 0.241, R²: 0.873, LR: 0.0002
Epoch 26 - Loss: 0.056, MAE: 0.232, R²: 0.877, LR: 0.0002
Epoch 27 - Loss: 0.045, MAE: 0.230, R²: 0.881, LR: 0.0002
Epoch 28 - Loss: 0.064, MAE: 0.233, R²: 0.878, LR: 0.0002
Epoch 29 - Loss: 0.021, MAE: 0.231, R²: 0.879, LR: 0.0002
Epoch 30 - Loss: 0.063, MAE: 0.233, R²: 0.878, LR: 0.0002
Epoch 31 - Loss: 0.026, MAE: 0.231, R²: 0.876, LR: 0.0002
Epoch 32 - Loss: 0.010, MAE: 0.235, R²: 0.875, LR: 0.0002
Epoch 33 - Loss: 0.066, MAE: 0.233, R²: 0.877, LR: 0.0002
Epoch 34 - Loss: 0.043, MAE: 0.238, R²: 0.875, LR: 0.0002
Epoch 35 - Loss: 0.054, MAE: 0.235, R²: 0.876, LR: 0.0002
Epoch 36 - Loss: 0.072, MAE: 0.234, R²: 0.875, LR: 0.0002
Epoch 37 - Loss: 0.059, MAE: 0.236, R²: 0.871, LR: 0.0002
Epoch 38 - Loss: 0.053, MAE: 0.236, R²: 0.873, LR: 0.0002
Epoch 39 - Loss: 0.047, MAE: 0.236, R²: 0.872, LR: 0.0002
Epoch 40 - Loss: 0.082, MAE: 0.233, R²: 0.877, LR: 0.0002
Epoch 41 - Loss: 0.025, MAE: 0.235, R²: 0.872, LR: 0.0002
Epoch 42 - Loss: 0.020, MAE: 0.234, R²: 0.874, LR: 0.0002
Epoch 43 - Loss: 0.038, MAE: 0.237, R²: 0.874, LR: 4e-05
Epoch 44 - Loss: 0.110, MAE: 0.237, R²: 0.872, LR: 4e-05
Epoch 45 - Loss: 0.010, MAE: 0.236, R²: 0.872, LR: 4e-05
Epoch 46 - Loss: 0.037, MAE: 0.235, R²: 0.872, LR: 4e-05
Epoch 47 - Loss: 0.034, MAE: 0.238, R²: 0.871, LR: 4e-05
Epoch 48 - Loss: 0.051, MAE: 0.236, R²: 0.873, LR: 4e-05
Epoch 49 - Loss: 0.043, MAE: 0.238, R²: 0.871, LR: 4e-05
Epoch 50 - Loss: 0.054, MAE: 0.237, R²: 0.870, LR: 4e-05
