Epoch 1 - Loss: 0.185, MAE: 0.300, R²: 0.833, LR: 0.001
Epoch 2 - Loss: 0.064, MAE: 0.286, R²: 0.839, LR: 0.001
Epoch 3 - Loss: 0.086, MAE: 0.272, R²: 0.859, LR: 0.001
Epoch 4 - Loss: 0.090, MAE: 0.300, R²: 0.818, LR: 0.001
Epoch 5 - Loss: 0.049, MAE: 0.282, R²: 0.849, LR: 0.001
Epoch 6 - Loss: 0.099, MAE: 0.270, R²: 0.857, LR: 0.001
Epoch 7 - Loss: 0.080, MAE: 0.266, R²: 0.856, LR: 0.001
Epoch 8 - Loss: 0.084, MAE: 0.276, R²: 0.843, LR: 0.001
Epoch 9 - Loss: 0.051, MAE: 0.252, R²: 0.864, LR: 0.001
Epoch 10 - Loss: 0.056, MAE: 0.260, R²: 0.859, LR: 0.001
Epoch 11 - Loss: 0.122, MAE: 0.266, R²: 0.854, LR: 0.001
Epoch 12 - Loss: 0.052, MAE: 0.258, R²: 0.864, LR: 0.001
Epoch 13 - Loss: 0.040, MAE: 0.266, R²: 0.849, LR: 0.001
Epoch 14 - Loss: 0.094, MAE: 0.264, R²: 0.855, LR: 0.001
Epoch 15 - Loss: 0.067, MAE: 0.260, R²: 0.856, LR: 0.001
Epoch 1 - Loss: 0.041, MAE: 0.262, R²: 0.866, LR: 0.001
Epoch 2 - Loss: 0.122, MAE: 0.267, R²: 0.864, LR: 0.001
Epoch 3 - Loss: 0.145, MAE: 0.269, R²: 0.859, LR: 0.001
Epoch 4 - Loss: 0.055, MAE: 0.271, R²: 0.849, LR: 0.001
Epoch 5 - Loss: 0.094, MAE: 0.253, R²: 0.868, LR: 0.001
Epoch 6 - Loss: 0.093, MAE: 0.252, R²: 0.870, LR: 0.001
Epoch 7 - Loss: 0.124, MAE: 0.250, R²: 0.870, LR: 0.001
Epoch 8 - Loss: 0.097, MAE: 0.251, R²: 0.870, LR: 0.001
Epoch 9 - Loss: 0.105, MAE: 0.247, R²: 0.868, LR: 0.001
Epoch 10 - Loss: 0.079, MAE: 0.280, R²: 0.846, LR: 0.001
Epoch 11 - Loss: 0.102, MAE: 0.297, R²: 0.826, LR: 0.001
Epoch 12 - Loss: 0.063, MAE: 0.252, R²: 0.869, LR: 0.001
Epoch 13 - Loss: 0.107, MAE: 0.258, R²: 0.857, LR: 0.001
Epoch 14 - Loss: 0.115, MAE: 0.260, R²: 0.853, LR: 0.001
Epoch 15 - Loss: 0.084, MAE: 0.284, R²: 0.832, LR: 0.001
Epoch 1 - Loss: 0.130, MAE: 0.254, R²: 0.868, LR: 0.001
Epoch 2 - Loss: 0.060, MAE: 0.247, R²: 0.870, LR: 0.001
Epoch 3 - Loss: 0.046, MAE: 0.257, R²: 0.867, LR: 0.001
Epoch 4 - Loss: 0.025, MAE: 0.252, R²: 0.863, LR: 0.001
Epoch 5 - Loss: 0.066, MAE: 0.254, R²: 0.866, LR: 0.001
Epoch 6 - Loss: 0.070, MAE: 0.241, R²: 0.878, LR: 0.001
Epoch 7 - Loss: 0.035, MAE: 0.239, R²: 0.876, LR: 0.001
Epoch 8 - Loss: 0.221, MAE: 0.240, R²: 0.873, LR: 0.001
Epoch 9 - Loss: 0.048, MAE: 0.248, R²: 0.867, LR: 0.001
Epoch 10 - Loss: 0.066, MAE: 0.247, R²: 0.870, LR: 0.001
Epoch 11 - Loss: 0.140, MAE: 0.252, R²: 0.863, LR: 0.001
Epoch 12 - Loss: 0.074, MAE: 0.246, R²: 0.866, LR: 0.001
Epoch 13 - Loss: 0.103, MAE: 0.238, R²: 0.878, LR: 0.001
Epoch 14 - Loss: 0.041, MAE: 0.243, R²: 0.874, LR: 0.001
Epoch 15 - Loss: 0.105, MAE: 0.243, R²: 0.875, LR: 0.001
