,precision,recall,f1-score,support
Class 0,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
Class 1,0.47368421052631576,0.75,0.5806451612903226,12.0
Class 2,0.5,0.75,0.6,12.0
Class 3,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
Class 4,0.6666666666666666,0.5,0.5714285714285715,12.0
Class 5,0.6,1.0,0.7499999999999999,12.0
Class 6,0.4117647058823529,0.5833333333333334,0.4827586206896552,12.0
Class 7,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
Class 8,0.7,0.5833333333333334,0.6363636363636365,12.0
Class 9,0.8181818181818182,0.75,0.7826086956521738,12.0
Class 10,0.7692307692307693,0.8333333333333334,0.8,12.0
Class 11,0.6,0.25,0.35294117647058826,12.0
Class 12,0.5238095238095238,0.9166666666666666,0.6666666666666667,12.0
Class 13,0.6875,0.9166666666666666,0.7857142857142857,12.0
Class 14,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0
Class 15,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Class 16,0.9,0.75,0.8181818181818182,12.0
Class 17,0.7692307692307693,0.8333333333333334,0.8,12.0
Class 18,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
Class 21,0.6923076923076923,0.75,0.7199999999999999,12.0
Class 22,1.0,0.3333333333333333,0.5,12.0
Class 23,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Class 24,0.6,0.75,0.6666666666666665,12.0
Class 26,0.5238095238095238,0.9166666666666666,0.6666666666666667,12.0
Class 27,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
Class 28,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
Class 29,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
micro avg,0.6287425149700598,0.6481481481481481,0.6382978723404255,324.0
macro avg,0.648859563432147,0.6481481481481483,0.624232004459155,324.0
weighted avg,0.6488595634321468,0.6481481481481481,0.6242320044591552,324.0
