Time,Predicted,Truth,time,x,y,Predicted_x,Predicted_y,Truth_x,Truth_y,errors,errors_m
2023-08-12 11:38:00,11,3,2023-08-12 11:38:00,15000,-5960,14266,-6435,15000,-5960,874.2888538692462,8.7429
2023-08-12 11:38:00,22,22,2023-08-12 11:38:00,15000,-5351,15000,-5351,15000,-5351,0.0,0.0
2023-08-12 11:38:00,7,6,2023-08-12 11:38:00,15000,-7680,14744,-7680,15000,-7680,256.0,2.56
2023-08-12 11:38:00,9,9,2023-08-12 11:38:00,14266,-7240,14266,-7240,14266,-7240,0.0,0.0
2023-08-12 11:38:00,0,1,2023-08-12 11:38:00,15000,-4705,15000,-4351,15000,-4705,354.0,3.54
2023-08-12 11:38:00,14,14,2023-08-12 11:38:00,14266,-5396,14266,-5396,14266,-5396,0.0,0.0
2023-08-12 11:38:00,26,26,2023-08-12 11:38:00,15000,-7479,15000,-7479,15000,-7479,0.0,0.0
2023-08-12 11:38:00,28,28,2023-08-12 11:38:00,14266,-5033,14266,-5033,14266,-5033,0.0,0.0
2023-08-12 11:38:00,12,11,2023-08-12 11:38:00,14266,-6435,14266,-6124,14266,-6435,311.0,3.11
2023-08-12 11:38:00,15,15,2023-08-12 11:38:00,14266,-4666,14266,-4666,14266,-4666,0.0,0.0
2023-08-12 11:38:00,26,25,2023-08-12 11:38:00,15000,-7285,15000,-7479,15000,-7285,194.0,1.94
2023-08-12 11:38:00,16,16,2023-08-12 11:38:00,14266,-4351,14266,-4351,14266,-4351,0.0,0.0
2023-08-12 11:38:00,13,13,2023-08-12 11:38:00,14266,-5730,14266,-5730,14266,-5730,0.0,0.0
2023-08-12 11:38:00,13,12,2023-08-12 11:38:00,14266,-6124,14266,-5730,14266,-6124,394.0,3.94
2023-08-12 11:38:00,24,24,2023-08-12 11:38:00,15000,-6664,15000,-6664,15000,-6664,0.0,0.0
2023-08-12 11:38:00,17,17,2023-08-12 11:38:00,14502,-4351,14502,-4351,14502,-4351,0.0,0.0
2023-08-12 11:38:00,13,21,2023-08-12 11:38:00,14501,-5960,14266,-5730,14501,-5960,328.8236609491476,3.2882
2023-08-12 11:38:00,24,4,2023-08-12 11:38:00,15000,-6326,15000,-6664,15000,-6326,338.0,3.38
2023-08-12 11:38:00,8,27,2023-08-12 11:38:00,14456,-7680,14266,-7680,14456,-7680,190.0,1.9
2023-08-12 11:38:00,8,8,2023-08-12 11:38:00,14266,-7680,14266,-7680,14266,-7680,0.0,0.0
2023-08-12 11:38:00,1,0,2023-08-12 11:38:00,15000,-4351,15000,-4705,15000,-4351,354.0,3.54
2023-08-12 11:38:00,11,10,2023-08-12 11:38:00,14266,-6842,14266,-6435,14266,-6842,407.0,4.07
2023-08-12 11:38:00,2,2,2023-08-12 11:38:00,15000,-5050,15000,-5050,15000,-5050,0.0,0.0
2023-08-12 11:38:00,13,18,2023-08-12 11:38:00,14702,-5960,14266,-5730,14702,-5960,492.9462445338234,4.9295
2023-08-12 11:38:00,29,29,2023-08-12 11:38:00,14744,-4351,14744,-4351,14744,-4351,0.0,0.0
2023-08-12 11:38:00,23,23,2023-08-12 11:38:00,15000,-5620,15000,-5620,15000,-5620,0.0,0.0
2023-08-12 11:38:00,5,5,2023-08-12 11:38:00,15000,-7017,15000,-7017,15000,-7017,0.0,0.0
2023-08-12 11:38:00,27,7,2023-08-12 11:38:00,14744,-7680,14456,-7680,14744,-7680,288.0,2.88
2023-08-14 13:01:00,2,22,2023-08-14 13:01:00,15000,-5351,15000,-5050,15000,-5351,301.0,3.01
2023-08-14 13:01:00,0,0,2023-08-14 13:01:00,15000,-4351,15000,-4351,15000,-4351,0.0,0.0
2023-08-14 13:01:00,1,1,2023-08-14 13:01:00,15000,-4705,15000,-4705,15000,-4705,0.0,0.0
2023-08-14 13:01:00,12,12,2023-08-14 13:01:00,14266,-6124,14266,-6124,14266,-6124,0.0,0.0
2023-08-14 13:01:00,24,4,2023-08-14 13:01:00,15000,-6326,15000,-6664,15000,-6326,338.0,3.38
2023-08-14 13:01:00,12,11,2023-08-14 13:01:00,14266,-6435,14266,-6124,14266,-6435,311.0,3.11
2023-08-14 13:01:00,6,7,2023-08-14 13:01:00,14744,-7680,15000,-7680,14744,-7680,256.0,2.56
2023-08-14 13:01:00,3,3,2023-08-14 13:01:00,15000,-5960,15000,-5960,15000,-5960,0.0,0.0
2023-08-14 13:01:00,21,21,2023-08-14 13:01:00,14501,-5960,14501,-5960,14501,-5960,0.0,0.0
2023-08-14 13:01:00,29,29,2023-08-14 13:01:00,14744,-4351,14744,-4351,14744,-4351,0.0,0.0
2023-08-14 13:01:00,13,13,2023-08-14 13:01:00,14266,-5730,14266,-5730,14266,-5730,0.0,0.0
2023-08-14 13:01:00,6,6,2023-08-14 13:01:00,15000,-7680,15000,-7680,15000,-7680,0.0,0.0
2023-08-14 13:01:00,16,16,2023-08-14 13:01:00,14266,-4351,14266,-4351,14266,-4351,0.0,0.0
2023-08-14 13:01:00,24,24,2023-08-14 13:01:00,15000,-6664,15000,-6664,15000,-6664,0.0,0.0
2023-08-14 13:01:00,5,5,2023-08-14 13:01:00,15000,-7017,15000,-7017,15000,-7017,0.0,0.0
2023-08-14 13:01:00,3,23,2023-08-14 13:01:00,15000,-5620,15000,-5960,15000,-5620,340.0,3.4
2023-08-14 13:01:00,2,2,2023-08-14 13:01:00,15000,-5050,15000,-5050,15000,-5050,0.0,0.0
2023-08-14 13:01:00,26,25,2023-08-14 13:01:00,15000,-7285,15000,-7479,15000,-7285,194.0,1.94
2023-08-14 13:01:00,14,14,2023-08-14 13:01:00,14266,-5396,14266,-5396,14266,-5396,0.0,0.0
2023-08-14 13:01:00,18,18,2023-08-14 13:01:00,14702,-5960,14702,-5960,14702,-5960,0.0,0.0
2023-08-14 13:01:00,8,8,2023-08-14 13:01:00,14266,-7680,14266,-7680,14266,-7680,0.0,0.0
2023-08-14 13:01:00,14,28,2023-08-14 13:01:00,14266,-5033,14266,-5396,14266,-5033,363.0,3.63
2023-08-14 13:01:00,9,9,2023-08-14 13:01:00,14266,-7240,14266,-7240,14266,-7240,0.0,0.0
2023-08-14 13:01:00,26,26,2023-08-14 13:01:00,15000,-7479,15000,-7479,15000,-7479,0.0,0.0
2023-08-14 13:01:00,17,17,2023-08-14 13:01:00,14502,-4351,14502,-4351,14502,-4351,0.0,0.0
2023-08-14 13:01:00,15,15,2023-08-14 13:01:00,14266,-4666,14266,-4666,14266,-4666,0.0,0.0
2023-08-14 13:01:00,7,27,2023-08-14 13:01:00,14456,-7680,14744,-7680,14456,-7680,288.0,2.88
2023-08-14 13:01:00,10,10,2023-08-14 13:01:00,14266,-6842,14266,-6842,14266,-6842,0.0,0.0
2023-08-15 15:11:00,11,11,2023-08-15 15:11:00,14266,-6435,14266,-6435,14266,-6435,0.0,0.0
2023-08-15 15:11:00,26,26,2023-08-15 15:11:00,15000,-7479,15000,-7479,15000,-7479,0.0,0.0
2023-08-15 15:11:00,6,27,2023-08-15 15:11:00,14456,-7680,15000,-7680,14456,-7680,544.0,5.44
2023-08-15 15:11:00,2,2,2023-08-15 15:11:00,15000,-5050,15000,-5050,15000,-5050,0.0,0.0
2023-08-15 15:11:00,23,23,2023-08-15 15:11:00,15000,-5620,15000,-5620,15000,-5620,0.0,0.0
2023-08-15 15:11:00,3,3,2023-08-15 15:11:00,15000,-5960,15000,-5960,15000,-5960,0.0,0.0
2023-08-15 15:11:00,24,24,2023-08-15 15:11:00,15000,-6664,15000,-6664,15000,-6664,0.0,0.0
2023-08-15 15:11:00,26,25,2023-08-15 15:11:00,15000,-7285,15000,-7479,15000,-7285,194.0,1.94
2023-08-15 15:11:00,1,1,2023-08-15 15:11:00,15000,-4705,15000,-4705,15000,-4705,0.0,0.0
2023-08-15 15:11:00,28,28,2023-08-15 15:11:00,14266,-5033,14266,-5033,14266,-5033,0.0,0.0
2023-08-15 15:11:00,0,0,2023-08-15 15:11:00,15000,-4351,15000,-4351,15000,-4351,0.0,0.0
2023-08-15 15:11:00,27,8,2023-08-15 15:11:00,14266,-7680,14456,-7680,14266,-7680,190.0,1.9
2023-08-15 15:11:00,10,10,2023-08-15 15:11:00,14266,-6842,14266,-6842,14266,-6842,0.0,0.0
2023-08-15 15:11:00,22,22,2023-08-15 15:11:00,15000,-5351,15000,-5351,15000,-5351,0.0,0.0
2023-08-15 15:11:00,5,5,2023-08-15 15:11:00,15000,-7017,15000,-7017,15000,-7017,0.0,0.0
2023-08-15 15:11:00,15,15,2023-08-15 15:11:00,14266,-4666,14266,-4666,14266,-4666,0.0,0.0
2023-08-15 15:11:00,3,4,2023-08-15 15:11:00,15000,-6326,15000,-5960,15000,-6326,366.0,3.66
2023-08-15 15:11:00,6,6,2023-08-15 15:11:00,15000,-7680,15000,-7680,15000,-7680,0.0,0.0
2023-08-15 15:11:00,14,14,2023-08-15 15:11:00,14266,-5396,14266,-5396,14266,-5396,0.0,0.0
2023-08-15 15:11:00,16,16,2023-08-15 15:11:00,14266,-4351,14266,-4351,14266,-4351,0.0,0.0
2023-08-15 15:11:00,6,7,2023-08-15 15:11:00,14744,-7680,15000,-7680,14744,-7680,256.0,2.56
2023-08-15 15:11:00,12,12,2023-08-15 15:11:00,14266,-6124,14266,-6124,14266,-6124,0.0,0.0
2023-08-15 15:11:00,9,9,2023-08-15 15:11:00,14266,-7240,14266,-7240,14266,-7240,0.0,0.0
2023-08-15 15:11:00,13,13,2023-08-15 15:11:00,14266,-5730,14266,-5730,14266,-5730,0.0,0.0
2023-08-15 15:15:00,21,21,2023-08-15 15:15:00,14501,-5960,14501,-5960,14501,-5960,0.0,0.0
2023-08-15 15:15:00,29,29,2023-08-15 15:15:00,14744,-4351,14744,-4351,14744,-4351,0.0,0.0
2023-08-15 15:15:00,18,18,2023-08-15 15:15:00,14702,-5960,14702,-5960,14702,-5960,0.0,0.0
2023-08-15 15:15:00,29,17,2023-08-15 15:15:00,14502,-4351,14744,-4351,14502,-4351,242.0,2.42
