=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 0.945 | Training Accuracy: 0.74%
Epoch: [  2| 30] | Training Loss: 0.855 | Training Accuracy: 0.74%
Epoch: [  3| 30] | Training Loss: 0.729 | Training Accuracy: 0.77%
Epoch: [  4| 30] | Training Loss: 0.553 | Training Accuracy: 0.78%
Epoch: [  5| 30] | Training Loss: 0.455 | Training Accuracy: 0.81%
Epoch: [  6| 30] | Training Loss: 0.416 | Training Accuracy: 0.84%
Epoch: [  7| 30] | Training Loss: 0.360 | Training Accuracy: 0.85%
Epoch: [  8| 30] | Training Loss: 0.383 | Training Accuracy: 0.77%
Epoch: [  9| 30] | Training Loss: 0.208 | Training Accuracy: 0.79%
Epoch: [ 10| 30] | Training Loss: 0.187 | Training Accuracy: 0.85%
Epoch: [ 11| 30] | Training Loss: 0.137 | Training Accuracy: 0.87%
Epoch: [ 12| 30] | Training Loss: 0.146 | Training Accuracy: 0.84%
Epoch: [ 13| 30] | Training Loss: 0.188 | Training Accuracy: 0.88%
Epoch: [ 14| 30] | Training Loss: 0.493 | Training Accuracy: 0.87%
Epoch: [ 15| 30] | Training Loss: 0.412 | Training Accuracy: 0.85%
Epoch: [ 16| 30] | Training Loss: 0.209 | Training Accuracy: 0.88%
Epoch: [ 17| 30] | Training Loss: 0.151 | Training Accuracy: 0.91%
Epoch: [ 18| 30] | Training Loss: 0.106 | Training Accuracy: 0.92%
Epoch: [ 19| 30] | Training Loss: 0.134 | Training Accuracy: 0.92%
Epoch: [ 20| 30] | Training Loss: 0.063 | Training Accuracy: 0.93%
Epoch: [ 21| 30] | Training Loss: 0.045 | Training Accuracy: 0.95%
Epoch: [ 22| 30] | Training Loss: 0.053 | Training Accuracy: 0.95%
Epoch: [ 23| 30] | Training Loss: 0.070 | Training Accuracy: 0.94%
Epoch: [ 24| 30] | Training Loss: 0.042 | Training Accuracy: 0.96%
Epoch: [ 25| 30] | Training Loss: 0.165 | Training Accuracy: 0.96%
Epoch: [ 26| 30] | Training Loss: 0.033 | Training Accuracy: 0.96%
Epoch: [ 27| 30] | Training Loss: 0.031 | Training Accuracy: 0.98%
Epoch: [ 28| 30] | Training Loss: 0.028 | Training Accuracy: 0.98%
Epoch: [ 29| 30] | Training Loss: 0.103 | Training Accuracy: 0.95%
Epoch: [ 30| 30] | Training Loss: 0.041 | Training Accuracy: 0.97%
