,Precision
Class 0,0.7142857142857143
Class 1,0.47368421052631576
Class 2,0.5
Class 3,0.6666666666666666
Class 4,0.6666666666666666
Class 5,0.6
Class 6,0.4117647058823529
Class 7,0.1111111111111111
Class 8,0.7
Class 9,0.8181818181818182
Class 10,0.7692307692307693
Class 11,0.6
Class 12,0.5238095238095238
Class 13,0.6875
Class 14,0.8461538461538461
Class 15,0.7857142857142857
Class 16,0.9
Class 17,0.7692307692307693
Class 18,0.5833333333333334
Class 21,0.9090909090909091
Class 22,0.6
Class 23,1.0
Class 24,0.5238095238095238
Class 26,1.0
Class 27,0.8181818181818182
Class 28,0.8181818181818182
Class 29,0.8181818181818182
