,Recall
Class 0,0.4166666666666667
Class 1,0.75
Class 2,0.75
Class 3,0.3333333333333333
Class 4,0.5
Class 5,1.0
Class 6,0.5833333333333334
Class 7,0.08333333333333333
Class 8,0.5833333333333334
Class 9,0.75
Class 10,0.8333333333333334
Class 11,0.25
Class 12,0.9166666666666666
Class 13,0.9166666666666666
Class 14,0.9166666666666666
Class 15,0.9166666666666666
Class 16,0.75
Class 17,0.8333333333333334
Class 18,0.5833333333333334
Class 21,0.8333333333333334
Class 22,0.75
Class 23,0.0
Class 24,0.9166666666666666
Class 26,0.75
Class 27,0.75
Class 28,0.75
Class 29,0.75
