Epoch 1 - Loss: 0.871, MAE: 0.836, R²: 0.137, LR: 0.001
Epoch 2 - Loss: 0.761, MAE: 0.649, R²: 0.405, LR: 0.001
Epoch 3 - Loss: 0.391, MAE: 0.574, R²: 0.556, LR: 0.001
Epoch 4 - Loss: 0.296, MAE: 0.448, R²: 0.695, LR: 0.001
Epoch 5 - Loss: 0.239, MAE: 0.422, R²: 0.742, LR: 0.001
Epoch 6 - Loss: 0.194, MAE: 0.350, R²: 0.787, LR: 0.001
Epoch 7 - Loss: 0.120, MAE: 0.359, R²: 0.807, LR: 0.001
Epoch 8 - Loss: 0.098, MAE: 0.320, R²: 0.840, LR: 0.001
Epoch 9 - Loss: 0.092, MAE: 0.328, R²: 0.828, LR: 0.001
Epoch 10 - Loss: 0.086, MAE: 0.283, R²: 0.865, LR: 0.001
Epoch 11 - Loss: 0.183, MAE: 0.314, R²: 0.829, LR: 0.001
Epoch 12 - Loss: 0.098, MAE: 0.301, R²: 0.850, LR: 0.001
Epoch 13 - Loss: 0.045, MAE: 0.274, R²: 0.871, LR: 0.001
Epoch 14 - Loss: 0.090, MAE: 0.313, R²: 0.834, LR: 0.001
Epoch 15 - Loss: 0.093, MAE: 0.272, R²: 0.868, LR: 0.001
Epoch 1 - Loss: 0.151, MAE: 0.310, R²: 0.839, LR: 0.001
Epoch 2 - Loss: 0.098, MAE: 0.264, R²: 0.882, LR: 0.001
Epoch 3 - Loss: 0.067, MAE: 0.271, R²: 0.883, LR: 0.001
Epoch 4 - Loss: 0.072, MAE: 0.243, R²: 0.899, LR: 0.001
Epoch 5 - Loss: 0.062, MAE: 0.242, R²: 0.903, LR: 0.001
Epoch 6 - Loss: 0.112, MAE: 0.253, R²: 0.886, LR: 0.001
Epoch 7 - Loss: 0.069, MAE: 0.249, R²: 0.883, LR: 0.001
Epoch 8 - Loss: 0.059, MAE: 0.237, R²: 0.896, LR: 0.001
Epoch 9 - Loss: 0.051, MAE: 0.261, R²: 0.882, LR: 0.001
Epoch 10 - Loss: 0.052, MAE: 0.239, R²: 0.898, LR: 0.001
Epoch 11 - Loss: 0.045, MAE: 0.251, R²: 0.889, LR: 0.001
Epoch 12 - Loss: 0.045, MAE: 0.244, R²: 0.900, LR: 0.001
Epoch 13 - Loss: 0.049, MAE: 0.228, R²: 0.909, LR: 0.001
Epoch 14 - Loss: 0.050, MAE: 0.231, R²: 0.903, LR: 0.001
Epoch 15 - Loss: 0.070, MAE: 0.245, R²: 0.892, LR: 0.001
Epoch 1 - Loss: 0.082, MAE: 0.267, R²: 0.879, LR: 0.001
Epoch 2 - Loss: 0.077, MAE: 0.223, R²: 0.921, LR: 0.001
Epoch 3 - Loss: 0.059, MAE: 0.224, R²: 0.918, LR: 0.001
Epoch 4 - Loss: 0.039, MAE: 0.219, R²: 0.920, LR: 0.001
Epoch 5 - Loss: 0.045, MAE: 0.210, R²: 0.925, LR: 0.001
Epoch 6 - Loss: 0.029, MAE: 0.205, R²: 0.924, LR: 0.001
Epoch 7 - Loss: 0.035, MAE: 0.242, R²: 0.903, LR: 0.001
Epoch 8 - Loss: 0.063, MAE: 0.226, R²: 0.911, LR: 0.001
Epoch 9 - Loss: 0.069, MAE: 0.218, R²: 0.918, LR: 0.001
Epoch 10 - Loss: 0.101, MAE: 0.196, R²: 0.933, LR: 0.001
Epoch 11 - Loss: 0.105, MAE: 0.213, R²: 0.916, LR: 0.001
Epoch 12 - Loss: 0.052, MAE: 0.199, R²: 0.932, LR: 0.001
Epoch 13 - Loss: 0.083, MAE: 0.201, R²: 0.928, LR: 0.001
Epoch 14 - Loss: 0.036, MAE: 0.203, R²: 0.927, LR: 0.001
Epoch 15 - Loss: 0.062, MAE: 0.204, R²: 0.921, LR: 0.001
