,F1-score
Class 0,0.761904761904762
Class 1,0.6666666666666667
Class 2,0.5599999999999999
Class 3,0.4
Class 4,0.13333333333333333
Class 5,0.7741935483870968
Class 6,0.4444444444444444
Class 7,0.3333333333333333
Class 8,0.6206896551724139
Class 9,0.6086956521739131
Class 10,0.6666666666666665
Class 11,0.6060606060606061
Class 12,0.5
Class 13,0.6666666666666666
Class 14,0.6206896551724139
Class 15,0.8148148148148148
Class 16,0.761904761904762
Class 17,0.5882352941176471
Class 18,0.7272727272727272
Class 19,0.375
Class 20,0.47058823529411764
Class 21,0.7857142857142857
Class 22,0.5714285714285715
Class 23,0.7142857142857143
Class 24,0.6285714285714286
Class 25,0.48000000000000004
Class 26,0.2857142857142857
Class 28,0.6363636363636365
Class 29,0.7741935483870968
Class 30,0.3333333333333333
Class 31,0.35294117647058826
Class 32,0.6
Class 33,0.35294117647058826
Class 34,0.5128205128205128
