,Precision
Class 0,0.8888888888888888
Class 1,0.5555555555555556
Class 2,0.5384615384615384
Class 3,1.0
Class 4,0.3333333333333333
Class 5,0.631578947368421
Class 6,0.6666666666666666
Class 7,0.5
Class 8,0.5294117647058824
Class 9,0.6363636363636364
Class 10,0.6
Class 11,0.47619047619047616
Class 12,0.625
Class 13,1.0
Class 14,0.5294117647058824
Class 15,0.7333333333333333
Class 16,0.8888888888888888
Class 17,1.0
Class 18,0.8
Class 19,0.75
Class 20,0.8
Class 21,0.6875
Class 22,0.6666666666666666
Class 23,0.625
Class 24,0.4782608695652174
Class 25,0.46153846153846156
Class 26,0.21739130434782608
Class 28,0.7
Class 29,0.631578947368421
Class 30,0.5
Class 31,0.6
Class 32,0.42857142857142855
Class 33,0.6
Class 34,0.37037037037037035
