,Recall
Class 0,0.5833333333333334
Class 1,0.8333333333333334
Class 2,0.25
Class 3,0.4166666666666667
Class 4,0.6666666666666666
Class 5,0.9166666666666666
Class 6,0.5
Class 7,0.4166666666666667
Class 8,0.9166666666666666
Class 9,0.8333333333333334
Class 10,0.6666666666666666
Class 11,0.5833333333333334
Class 12,0.25
Class 13,0.4166666666666667
Class 14,0.5833333333333334
Class 15,1.0
Class 16,0.9166666666666666
Class 17,0.8333333333333334
Class 18,0.6666666666666666
Class 19,0.3333333333333333
Class 20,0.3333333333333333
Class 21,1.0
Class 22,0.9166666666666666
Class 23,0.3333333333333333
Class 24,0.9166666666666666
Class 25,0.3333333333333333
Class 26,0.3333333333333333
Class 27,0.5833333333333334
Class 28,0.5833333333333334
Class 29,0.6666666666666666
Class 30,0.3333333333333333
Class 31,0.16666666666666666
Class 32,0.8333333333333334
Class 33,0.3333333333333333
Class 34,0.6666666666666666
