,precision,recall,f1-score,support
Class 0,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
Class 1,0.5555555555555556,0.8333333333333334,0.6666666666666667,12.0
Class 2,0.5384615384615384,0.5833333333333334,0.5599999999999999,12.0
Class 3,1.0,0.25,0.4,12.0
Class 4,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
Class 5,0.631578947368421,1.0,0.7741935483870968,12.0
Class 6,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
Class 7,0.5,0.25,0.3333333333333333,12.0
Class 8,0.5294117647058824,0.75,0.6206896551724139,12.0
Class 9,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
Class 10,0.6,0.75,0.6666666666666665,12.0
Class 11,0.47619047619047616,0.8333333333333334,0.6060606060606061,12.0
Class 12,0.625,0.4166666666666667,0.5,12.0
Class 13,1.0,0.5,0.6666666666666666,12.0
Class 14,0.5294117647058824,0.75,0.6206896551724139,12.0
Class 15,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
Class 16,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
Class 17,1.0,0.4166666666666667,0.5882352941176471,12.0
Class 18,0.8,0.6666666666666666,0.7272727272727272,12.0
Class 19,0.75,0.25,0.375,12.0
Class 20,0.8,0.3333333333333333,0.47058823529411764,12.0
Class 21,0.6875,0.9166666666666666,0.7857142857142857,12.0
Class 22,0.6666666666666666,0.5,0.5714285714285715,12.0
Class 23,0.625,0.8333333333333334,0.7142857142857143,12.0
Class 24,0.4782608695652174,0.9166666666666666,0.6285714285714286,12.0
Class 25,0.46153846153846156,0.5,0.48000000000000004,12.0
Class 26,0.21739130434782608,0.4166666666666667,0.2857142857142857,12.0
Class 28,0.7,0.5833333333333334,0.6363636363636365,12.0
Class 29,0.631578947368421,1.0,0.7741935483870968,12.0
Class 30,0.5,0.25,0.3333333333333333,12.0
Class 31,0.6,0.25,0.35294117647058826,12.0
Class 32,0.42857142857142855,1.0,0.6,12.0
Class 33,0.6,0.25,0.35294117647058826,12.0
Class 34,0.37037037037037035,0.8333333333333334,0.5128205128205128,12.0
micro avg,0.5738095238095238,0.5906862745098039,0.5821256038647343,408.0
macro avg,0.6308812600850263,0.5906862745098039,0.5626314262631301,408.0
weighted avg,0.6308812600850263,0.5906862745098039,0.5626314262631302,408.0
