Epoch 1 - Loss: 0.229, MAE: 0.307, R²: 0.856, LR: 0.001
Epoch 2 - Loss: 0.068, MAE: 0.220, R²: 0.913, LR: 0.001
Epoch 3 - Loss: 0.024, MAE: 0.190, R²: 0.930, LR: 0.001
Epoch 4 - Loss: 0.029, MAE: 0.184, R²: 0.933, LR: 0.001
Epoch 5 - Loss: 0.056, MAE: 0.171, R²: 0.941, LR: 0.001
Epoch 6 - Loss: 0.034, MAE: 0.173, R²: 0.942, LR: 0.001
Epoch 7 - Loss: 0.039, MAE: 0.174, R²: 0.934, LR: 0.001
Epoch 8 - Loss: 0.020, MAE: 0.149, R²: 0.951, LR: 0.001
Epoch 9 - Loss: 0.013, MAE: 0.158, R²: 0.947, LR: 0.001
Epoch 10 - Loss: 0.012, MAE: 0.160, R²: 0.947, LR: 0.001
Epoch 11 - Loss: 0.014, MAE: 0.156, R²: 0.947, LR: 0.001
Epoch 12 - Loss: 0.011, MAE: 0.144, R²: 0.949, LR: 0.001
Epoch 13 - Loss: 0.019, MAE: 0.149, R²: 0.949, LR: 0.001
Epoch 14 - Loss: 0.008, MAE: 0.161, R²: 0.944, LR: 0.001
Epoch 15 - Loss: 0.012, MAE: 0.154, R²: 0.946, LR: 0.001
Epoch 16 - Loss: 0.011, MAE: 0.155, R²: 0.945, LR: 0.001
Epoch 17 - Loss: 0.008, MAE: 0.156, R²: 0.944, LR: 0.001
Epoch 18 - Loss: 0.005, MAE: 0.149, R²: 0.946, LR: 0.001
Epoch 19 - Loss: 0.008, MAE: 0.155, R²: 0.942, LR: 0.001
Epoch 20 - Loss: 0.013, MAE: 0.168, R²: 0.941, LR: 0.001
Epoch 21 - Loss: 0.009, MAE: 0.156, R²: 0.942, LR: 0.001
Epoch 22 - Loss: 0.012, MAE: 0.154, R²: 0.944, LR: 0.001
Epoch 23 - Loss: 0.011, MAE: 0.151, R²: 0.944, LR: 0.001
Epoch 24 - Loss: 0.009, MAE: 0.163, R²: 0.939, LR: 0.001
Epoch 25 - Loss: 0.008, MAE: 0.152, R²: 0.942, LR: 0.001
Epoch 26 - Loss: 0.014, MAE: 0.153, R²: 0.943, LR: 0.001
Epoch 27 - Loss: 0.006, MAE: 0.163, R²: 0.936, LR: 0.001
Epoch 28 - Loss: 0.006, MAE: 0.158, R²: 0.940, LR: 0.001
Epoch 29 - Loss: 0.007, MAE: 0.150, R²: 0.941, LR: 0.0002
Epoch 30 - Loss: 0.005, MAE: 0.151, R²: 0.943, LR: 0.0002
Epoch 31 - Loss: 0.003, MAE: 0.152, R²: 0.942, LR: 0.0002
Epoch 32 - Loss: 0.003, MAE: 0.154, R²: 0.941, LR: 0.0002
Epoch 33 - Loss: 0.003, MAE: 0.150, R²: 0.943, LR: 0.0002
Epoch 34 - Loss: 0.002, MAE: 0.149, R²: 0.943, LR: 0.0002
Epoch 35 - Loss: 0.003, MAE: 0.152, R²: 0.941, LR: 0.0002
Epoch 36 - Loss: 0.003, MAE: 0.152, R²: 0.942, LR: 0.0002
Epoch 37 - Loss: 0.005, MAE: 0.150, R²: 0.942, LR: 0.0002
Epoch 38 - Loss: 0.004, MAE: 0.151, R²: 0.942, LR: 0.0002
Epoch 39 - Loss: 0.003, MAE: 0.153, R²: 0.941, LR: 0.0002
Epoch 40 - Loss: 0.002, MAE: 0.152, R²: 0.941, LR: 0.0002
Epoch 41 - Loss: 0.003, MAE: 0.150, R²: 0.942, LR: 0.0002
Epoch 42 - Loss: 0.005, MAE: 0.154, R²: 0.941, LR: 0.0002
Epoch 43 - Loss: 0.004, MAE: 0.151, R²: 0.942, LR: 0.0002
Epoch 44 - Loss: 0.002, MAE: 0.153, R²: 0.941, LR: 0.0002
Epoch 45 - Loss: 0.002, MAE: 0.152, R²: 0.942, LR: 4e-05
Epoch 46 - Loss: 0.002, MAE: 0.152, R²: 0.941, LR: 4e-05
Epoch 47 - Loss: 0.001, MAE: 0.153, R²: 0.941, LR: 4e-05
Epoch 48 - Loss: 0.001, MAE: 0.152, R²: 0.941, LR: 4e-05
Epoch 49 - Loss: 0.002, MAE: 0.152, R²: 0.941, LR: 4e-05
Epoch 50 - Loss: 0.001, MAE: 0.152, R²: 0.941, LR: 4e-05
