,precision,recall,f1-score,support
Class 0,1.0,0.6666666666666666,0.8,12.0
Class 1,0.6,0.75,0.6666666666666665,12.0
Class 2,0.5,0.9166666666666666,0.6470588235294118,12.0
Class 3,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
Class 4,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0
Class 5,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
Class 6,0.42857142857142855,0.5,0.4615384615384615,12.0
Class 7,0.3333333333333333,0.4166666666666667,0.3703703703703704,12.0
Class 8,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Class 9,1.0,0.8333333333333334,0.9090909090909091,12.0
Class 10,0.8,1.0,0.888888888888889,12.0
Class 12,0.6111111111111112,0.9166666666666666,0.7333333333333334,12.0
Class 13,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Class 14,0.8,0.6666666666666666,0.7272727272727272,12.0
Class 15,0.625,0.4166666666666667,0.5,12.0
Class 16,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Class 17,0.7142857142857143,0.8333333333333334,0.7692307692307692,12.0
Class 22,1.0,0.25,0.4,12.0
Class 23,0.5,1.0,0.6666666666666666,12.0
Class 24,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
Class 25,0.5,0.5833333333333334,0.5384615384615384,12.0
Class 26,0.38461538461538464,0.4166666666666667,0.4,12.0
Class 27,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
Class 28,0.875,0.5833333333333334,0.7000000000000001,12.0
Class 29,0.8181818181818182,0.75,0.7826086956521738,12.0
Class 30,0.75,0.75,0.75,12.0
Class 31,0.38095238095238093,0.6666666666666666,0.4848484848484849,12.0
Class 32,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
Class 33,0.8,0.6666666666666666,0.7272727272727272,12.0
Class 34,1.0,0.6666666666666666,0.8,12.0
Class 35,0.8571428571428571,0.5,0.631578947368421,12.0
Class 36,0.8,0.3333333333333333,0.47058823529411764,12.0
Class 37,0.8,0.3333333333333333,0.47058823529411764,12.0
Class 38,0.8,0.3333333333333333,0.47058823529411764,12.0
Class 39,0.8,0.3333333333333333,0.47058823529411764,12.0
Class 40,0.8,0.3333333333333333,0.47058823529411764,12.0
Class 41,0.8,0.3333333333333333,0.47058823529411764,12.0
micro avg,0.6658415841584159,0.6058558558558559,0.6344339622641509,444.0
macro avg,0.719895305189423,0.6058558558558557,0.6217511739926227,444.0
weighted avg,0.7198953051894231,0.6058558558558559,0.6217511739926228,444.0
