,F1-score
Class 0,0.8
Class 1,0.6666666666666665
Class 2,0.6470588235294118
Class 3,0.5263157894736842
Class 4,0.6896551724137931
Class 5,0.6086956521739131
Class 6,0.4615384615384615
Class 7,0.3703703703703704
Class 8,0.8461538461538461
Class 9,0.9090909090909091
Class 10,0.888888888888889
Class 12,0.8333333333333334
Class 13,0.7272727272727272
Class 14,0.5
Class 15,0.8333333333333334
Class 16,0.7692307692307692
Class 17,0.4
Class 22,0.26666666666666666
Class 23,0.7000000000000001
Class 24,0.7826086956521738
Class 25,0.75
Class 26,0.4848484848484849
Class 27,0.5555555555555556
Class 28,0.7272727272727272
Class 29,0.8
Class 30,0.631578947368421
Class 31,0.47058823529411764
Class 32,0.6206896551724139
Class 33,0.7272727272727272
Class 34,0.5405405405405406
Class 35,0.6363636363636365
Class 36,0.4
Class 37,0.4
Class 38,0.4
Class 39,0.4
Class 40,0.4
Class 41,0.4
