,Precision
Class 0,1.0
Class 1,0.6
Class 2,0.5
Class 3,0.7142857142857143
Class 4,0.5882352941176471
Class 5,0.6363636363636364
Class 6,0.42857142857142855
Class 7,0.3333333333333333
Class 8,0.7857142857142857
Class 9,1.0
Class 10,0.8
Class 12,0.8333333333333334
Class 13,0.8
Class 14,0.625
Class 15,0.8333333333333334
Class 16,0.7142857142857143
Class 17,1.0
Class 22,0.6666666666666666
Class 23,0.875
Class 24,0.8181818181818182
Class 25,0.75
Class 26,0.38095238095238093
Class 27,0.8333333333333334
Class 28,0.8
Class 29,1.0
Class 30,0.8571428571428571
Class 31,0.8
Class 32,0.5294117647058824
Class 33,0.8
Class 34,0.4
Class 35,0.7
Class 36,1.0
Class 37,1.0
Class 38,1.0
Class 39,1.0
Class 40,1.0
Class 41,1.0
