,F1-score
Class 0,0.8461538461538461
Class 1,0.6666666666666666
Class 2,0.6666666666666667
Class 3,0.6666666666666666
Class 4,0.6153846153846153
Class 5,0.5882352941176471
Class 6,0.5333333333333333
Class 7,0.25
Class 8,0.7826086956521738
Class 9,0.7826086956521738
Class 10,0.8333333333333334
Class 12,0.7199999999999999
Class 13,0.7407407407407408
Class 14,0.6666666666666666
Class 15,0.7826086956521738
Class 16,0.8
Class 17,0.5555555555555556
Class 22,0.6666666666666665
Class 23,0.6363636363636365
Class 24,0.7826086956521738
Class 25,0.64
Class 26,0.5
Class 27,0.0
Class 28,0.4761904761904762
Class 29,0.8799999999999999
Class 30,0.5
Class 31,0.5882352941176471
Class 32,0.5599999999999999
Class 33,0.5185185185185186
Class 34,0.3684210526315789
Class 35,0.5
Class 36,0.2857142857142857
Class 37,0.2857142857142857
Class 38,0.2857142857142857
Class 39,0.2857142857142857
Class 40,0.2857142857142857
Class 41,0.2857142857142857
