Time,Predicted,Truth,time,x,y,Predicted_x,Predicted_y,Truth_x,Truth_y,errors,errors_m
2023-08-12 11:46:00,14,14,2023-08-12 11:46:00,14266,-5396,14266,-5396,14266,-5396,0.0,0.0
2023-08-12 11:46:00,4,4,2023-08-12 11:46:00,15000,-6326,15000,-6326,15000,-6326,0.0,0.0
2023-08-12 11:46:00,5,24,2023-08-12 11:46:00,15000,-6664,15000,-7017,15000,-6664,353.0,3.53
2023-08-12 11:46:00,15,15,2023-08-12 11:46:00,14266,-4666,14266,-4666,14266,-4666,0.0,0.0
2023-08-12 11:46:00,17,17,2023-08-12 11:46:00,14502,-4351,14502,-4351,14502,-4351,0.0,0.0
2023-08-12 11:46:00,27,27,2023-08-12 11:46:00,14456,-7680,14456,-7680,14456,-7680,0.0,0.0
2023-08-12 11:46:00,5,25,2023-08-12 11:46:00,15000,-7285,15000,-7017,15000,-7285,268.0,2.68
2023-08-12 11:46:00,25,26,2023-08-12 11:46:00,15000,-7479,15000,-7285,15000,-7479,194.0,1.94
2023-08-12 11:46:00,39,37,2023-08-12 11:46:00,14740,-6611,14495,-6283,14740,-6611,409.40078163090993,4.094
2023-08-12 11:46:00,1,1,2023-08-12 11:46:00,15000,-4705,15000,-4705,15000,-4705,0.0,0.0
2023-08-12 11:46:00,39,38,2023-08-12 11:46:00,14495,-6611,14495,-6283,14495,-6611,328.0,3.28
2023-08-12 11:46:00,40,40,2023-08-12 11:46:00,14495,-5981,14495,-5981,14495,-5981,0.0,0.0
2023-08-12 11:46:00,2,2,2023-08-12 11:46:00,15000,-5050,15000,-5050,15000,-5050,0.0,0.0
2023-08-12 11:46:00,39,39,2023-08-12 11:46:00,14495,-6283,14495,-6283,14495,-6283,0.0,0.0
2023-08-12 11:46:00,5,5,2023-08-12 11:46:00,15000,-7017,15000,-7017,15000,-7017,0.0,0.0
2023-08-12 11:46:00,16,16,2023-08-12 11:46:00,14266,-4351,14266,-4351,14266,-4351,0.0,0.0
2023-08-12 11:46:00,22,22,2023-08-12 11:46:00,15000,-5351,15000,-5351,15000,-5351,0.0,0.0
2023-08-12 11:46:00,13,13,2023-08-12 11:46:00,14266,-5730,14266,-5730,14266,-5730,0.0,0.0
