=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 0.827 | Training Accuracy: 0.68%
Epoch: [  2| 30] | Training Loss: 0.670 | Training Accuracy: 0.76%
Epoch: [  3| 30] | Training Loss: 0.563 | Training Accuracy: 0.81%
Epoch: [  4| 30] | Training Loss: 0.489 | Training Accuracy: 0.82%
Epoch: [  5| 30] | Training Loss: 0.457 | Training Accuracy: 0.82%
Epoch: [  6| 30] | Training Loss: 0.292 | Training Accuracy: 0.85%
Epoch: [  7| 30] | Training Loss: 0.238 | Training Accuracy: 0.85%
Epoch: [  8| 30] | Training Loss: 0.232 | Training Accuracy: 0.83%
Epoch: [  9| 30] | Training Loss: 0.261 | Training Accuracy: 0.82%
Epoch: [ 10| 30] | Training Loss: 0.208 | Training Accuracy: 0.88%
Epoch: [ 11| 30] | Training Loss: 0.117 | Training Accuracy: 0.89%
Epoch: [ 12| 30] | Training Loss: 0.157 | Training Accuracy: 0.92%
Epoch: [ 13| 30] | Training Loss: 0.293 | Training Accuracy: 0.89%
Epoch: [ 14| 30] | Training Loss: 0.047 | Training Accuracy: 0.91%
Epoch: [ 15| 30] | Training Loss: 0.083 | Training Accuracy: 0.92%
Epoch: [ 16| 30] | Training Loss: 0.106 | Training Accuracy: 0.93%
Epoch: [ 17| 30] | Training Loss: 0.039 | Training Accuracy: 0.95%
Epoch: [ 18| 30] | Training Loss: 0.022 | Training Accuracy: 0.96%
Epoch: [ 19| 30] | Training Loss: 0.024 | Training Accuracy: 0.96%
Epoch: [ 20| 30] | Training Loss: 0.019 | Training Accuracy: 0.97%
Epoch: [ 21| 30] | Training Loss: 0.013 | Training Accuracy: 0.98%
Epoch: [ 22| 30] | Training Loss: 0.012 | Training Accuracy: 0.97%
Epoch: [ 23| 30] | Training Loss: 0.011 | Training Accuracy: 0.97%
Epoch: [ 24| 30] | Training Loss: 0.017 | Training Accuracy: 0.99%
Epoch: [ 25| 30] | Training Loss: 0.014 | Training Accuracy: 0.99%
Epoch: [ 26| 30] | Training Loss: 0.011 | Training Accuracy: 0.99%
Epoch: [ 27| 30] | Training Loss: 0.054 | Training Accuracy: 0.97%
Epoch: [ 28| 30] | Training Loss: 0.236 | Training Accuracy: 0.97%
Epoch: [ 29| 30] | Training Loss: 0.013 | Training Accuracy: 0.99%
Epoch: [ 30| 30] | Training Loss: 0.059 | Training Accuracy: 0.97%
