,precision,recall,f1-score,support
Class 0,0.08333333333333333,0.14285714285714285,0.10526315789473685,7.0
Class 1,0.06666666666666667,0.14285714285714285,0.09090909090909091,7.0
Class 5,0.0,0.0,0.0,7.0
Class 8,0.0,0.0,0.0,7.0
Class 11,0.0,0.0,0.0,7.0
Class 13,0.046511627906976744,0.2857142857142857,0.08,7.0
Class 14,0.029411764705882353,0.14285714285714285,0.04878048780487805,7.0
Class 15,0.0,0.0,0.0,7.0
Class 16,0.0625,0.14285714285714285,0.08695652173913043,7.0
Class 18,0.0,0.0,0.0,7.0
Class 19,0.0,0.0,0.0,7.0
Class 20,0.0,0.0,0.0,7.0
Class 22,0.0,0.0,0.0,7.0
Class 24,0.06666666666666667,0.14285714285714285,0.09090909090909091,7.0
Class 25,0.04878048780487805,0.2857142857142857,0.08333333333333334,7.0
Class 26,1.0,0.14285714285714285,0.25,7.0
Class 29,0.0,0.0,0.0,6.0
Class 30,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
Class 31,0.3333333333333333,0.14285714285714285,0.2,7.0
Class 32,0.04081632653061224,0.2857142857142857,0.07142857142857142,7.0
Class 33,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
Class 34,0.0,0.0,0.0,7.0
Class 36,0.0,0.0,0.0,7.0
Class 38,0.0,0.0,0.0,8.0
Class 40,0.0,0.0,0.0,7.0
Class 41,0.0,0.0,0.0,7.0
Class 42,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
Class 43,0.08333333333333333,0.14285714285714285,0.10526315789473685,7.0
Class 44,0.5,0.14285714285714285,0.22222222222222224,7.0
Class 45,1.0,0.14285714285714285,0.25,7.0
Class 46,1.0,0.14285714285714285,0.25,7.0
Class 47,0.8,0.6666666666666666,0.7272727272727272,6.0
Class 48,0.0,0.0,0.0,7.0
Class 51,0.10526315789473684,0.5714285714285714,0.17777777777777778,7.0
Class 53,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0
Class 56,0.125,0.14285714285714285,0.13333333333333333,7.0
Class 57,0.0,0.0,0.0,7.0
Class 58,0.08333333333333333,0.2857142857142857,0.12903225806451613,7.0
Class 59,0.0,0.0,0.0,7.0
Class 60,0.06666666666666667,0.2857142857142857,0.10810810810810811,7.0
Class 61,0.0,0.0,0.0,6.0
Class 62,0.0,0.0,0.0,7.0
Class 69,0.0,0.0,0.0,7.0
Class 70,0.0,0.0,0.0,7.0
Class 72,0.0,0.0,0.0,6.0
Class 73,0.25,0.14285714285714285,0.18181818181818182,7.0
Class 74,0.15384615384615385,0.2857142857142857,0.2,7.0
Class 75,0.0,0.0,0.0,7.0
Class 76,0.0,0.0,0.0,7.0
Class 80,0.16129032258064516,0.8333333333333334,0.27027027027027023,6.0
Class 81,0.2857142857142857,0.25,0.26666666666666666,8.0
Class 83,0.375,0.42857142857142855,0.39999999999999997,7.0
Class 85,0.05555555555555555,0.16666666666666666,0.08333333333333333,6.0
Class 86,0.09090909090909091,0.25,0.13333333333333333,8.0
Class 88,0.0,0.0,0.0,7.0
Class 90,0.1111111111111111,0.14285714285714285,0.125,7.0
Class 91,0.05555555555555555,0.14285714285714285,0.08,7.0
Class 92,0.1,0.14285714285714285,0.11764705882352941,7.0
Class 93,0.0,0.0,0.0,6.0
Class 94,0.06666666666666667,0.14285714285714285,0.09090909090909091,7.0
Class 95,0.11538461538461539,0.42857142857142855,0.18181818181818182,7.0
Class 96,0.0,0.0,0.0,7.0
Class 97,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
Class 98,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0
Class 99,0.16666666666666666,0.14285714285714285,0.15384615384615383,7.0
Class 100,0.0,0.0,0.0,7.0
Class 101,0.07692307692307693,0.14285714285714285,0.1,7.0
Class 103,0.08695652173913043,0.2857142857142857,0.13333333333333333,7.0
Class 108,0.07692307692307693,0.14285714285714285,0.1,7.0
Class 109,0.0,0.0,0.0,7.0
Class 110,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0
Class 111,0.3333333333333333,0.14285714285714285,0.2,7.0
Class 112,0.06666666666666667,0.2857142857142857,0.10810810810810811,7.0
Class 113,0.08695652173913043,0.3333333333333333,0.13793103448275862,6.0
Class 115,0.1,0.14285714285714285,0.11764705882352941,7.0
Class 119,0.0,0.0,0.0,7.0
Class 120,0.1111111111111111,0.14285714285714285,0.125,7.0
Class 121,0.0,0.0,0.0,7.0
Class 122,0.0,0.0,0.0,7.0
Class 123,0.038461538461538464,0.14285714285714285,0.060606060606060615,7.0
Class 124,0.16666666666666666,0.14285714285714285,0.15384615384615383,7.0
Class 125,0.05,0.14285714285714285,0.07407407407407408,7.0
Class 126,0.0,0.0,0.0,6.0
Class 127,0.0,0.0,0.0,7.0
Class 128,0.0,0.0,0.0,7.0
micro avg,0.08866442199775533,0.13458262350936967,0.10690121786197565,587.0
macro avg,0.1177023590248915,0.13585434173669467,0.09583114369212663,587.0
weighted avg,0.11734494407549585,0.13458262350936967,0.09516329446407243,587.0
