,Precision
Class 0,0.08333333333333333
Class 1,0.06666666666666667
Class 5,0.0
Class 8,0.0
Class 11,0.0
Class 13,0.046511627906976744
Class 14,0.029411764705882353
Class 15,0.0
Class 16,0.0625
Class 18,0.0
Class 19,0.0
Class 20,0.0
Class 22,0.0
Class 24,0.06666666666666667
Class 25,0.04878048780487805
Class 26,1.0
Class 29,0.0
Class 30,0.3333333333333333
Class 31,0.3333333333333333
Class 32,0.04081632653061224
Class 33,0.2857142857142857
Class 34,0.0
Class 36,0.0
Class 38,0.0
Class 40,0.0
Class 41,0.0
Class 42,0.14285714285714285
Class 43,0.08333333333333333
Class 44,0.5
Class 45,1.0
Class 46,1.0
Class 47,0.8
Class 48,0.0
Class 51,0.10526315789473684
Class 53,0.14285714285714285
Class 56,0.125
Class 57,0.0
Class 58,0.08333333333333333
Class 59,0.0
Class 60,0.06666666666666667
Class 61,0.0
Class 62,0.0
Class 69,0.0
Class 70,0.0
Class 72,0.0
Class 73,0.25
Class 74,0.15384615384615385
Class 75,0.0
Class 76,0.0
Class 80,0.16129032258064516
Class 81,0.2857142857142857
Class 83,0.375
Class 85,0.05555555555555555
Class 86,0.09090909090909091
Class 88,0.0
Class 90,0.1111111111111111
Class 91,0.05555555555555555
Class 92,0.1
Class 93,0.0
Class 94,0.06666666666666667
Class 95,0.11538461538461539
Class 96,0.0
Class 97,0.09090909090909091
Class 98,0.14285714285714285
Class 99,0.16666666666666666
Class 100,0.0
Class 101,0.07692307692307693
Class 103,0.08695652173913043
Class 108,0.07692307692307693
Class 109,0.0
Class 110,0.14285714285714285
Class 111,0.3333333333333333
Class 112,0.06666666666666667
Class 113,0.08695652173913043
Class 115,0.1
Class 119,0.0
Class 120,0.1111111111111111
Class 121,0.0
Class 122,0.0
Class 123,0.038461538461538464
Class 124,0.16666666666666666
Class 125,0.05
Class 126,0.0
Class 127,0.0
Class 128,0.0
