,F1-score
Class 0,0.0
Class 1,0.2222222222222222
Class 9,0.0
Class 10,0.1111111111111111
Class 13,0.4
Class 14,0.07142857142857142
Class 17,0.0
Class 19,0.0
Class 20,0.0
Class 21,0.0
Class 22,0.22222222222222224
Class 23,0.0
Class 25,0.0
Class 26,0.0
Class 30,0.11764705882352942
Class 32,0.0625
Class 34,0.0
Class 36,0.0
Class 37,0.0
Class 38,0.08695652173913045
Class 39,0.0
Class 40,0.0
Class 41,0.0
Class 42,0.14285714285714285
Class 43,0.0
Class 45,0.4444444444444445
Class 46,0.17142857142857143
Class 47,0.6153846153846153
Class 50,0.12903225806451613
Class 51,0.0
Class 52,0.0
Class 53,0.16666666666666666
Class 54,0.14285714285714285
Class 55,0.0
Class 56,0.0
Class 58,0.17777777777777778
Class 59,0.0
Class 60,0.0
Class 63,0.0
Class 64,0.0
Class 65,0.0
Class 66,0.0
Class 67,0.0
Class 68,0.08333333333333333
Class 70,0.0
Class 72,0.2857142857142857
Class 73,0.10526315789473685
Class 74,0.0
Class 75,0.16666666666666666
Class 78,0.0
Class 79,0.12
Class 80,0.2
Class 81,0.0
Class 84,0.10526315789473685
Class 85,0.1111111111111111
Class 87,0.1
Class 92,0.2
Class 93,0.03225806451612903
Class 96,0.2105263157894737
Class 97,0.13793103448275862
Class 98,0.22222222222222224
Class 100,0.0
Class 101,0.10526315789473685
Class 102,0.0
Class 107,0.125
Class 108,0.1
Class 109,0.23529411764705882
Class 110,0.0
Class 112,0.1
Class 113,0.10526315789473684
Class 115,0.125
Class 118,0.0
Class 120,0.2222222222222222
Class 121,0.22222222222222224
Class 122,0.0
Class 123,0.0
Class 124,0.14545454545454545
Class 126,0.15384615384615383
Class 127,0.2105263157894737
Class 128,0.16666666666666666
