,Precision
Class 0,0.0
Class 1,0.18181818181818182
Class 9,0.0
Class 10,0.09090909090909091
Class 13,0.6666666666666666
Class 14,0.047619047619047616
Class 17,0.0
Class 19,0.0
Class 20,0.0
Class 21,0.0
Class 22,0.5
Class 23,0.0
Class 25,0.0
Class 26,0.0
Class 30,0.09090909090909091
Class 32,0.04
Class 34,0.0
Class 36,0.0
Class 37,0.0
Class 38,0.06666666666666667
Class 39,0.0
Class 40,0.0
Class 41,0.0
Class 42,0.14285714285714285
Class 43,0.0
Class 45,1.0
Class 46,0.10714285714285714
Class 47,0.5714285714285714
Class 50,0.08333333333333333
Class 51,0.0
Class 52,0.0
Class 53,0.2
Class 54,0.09523809523809523
Class 55,0.0
Class 56,0.0
Class 58,0.10526315789473684
Class 59,0.0
Class 60,0.0
Class 63,0.0
Class 64,0.0
Class 65,0.0
Class 66,0.0
Class 67,0.0
Class 68,0.058823529411764705
Class 70,0.0
Class 72,1.0
Class 73,0.08333333333333333
Class 74,0.0
Class 75,0.11764705882352941
Class 78,0.0
Class 79,0.06976744186046512
Class 80,0.25
Class 81,0.0
Class 84,0.08333333333333333
Class 85,0.08333333333333333
Class 87,0.07692307692307693
Class 92,0.3333333333333333
Class 93,0.017857142857142856
Class 96,0.16666666666666666
Class 97,0.08695652173913043
Class 98,0.5
Class 100,0.0
Class 101,0.08333333333333333
Class 102,0.0
Class 107,0.08
Class 108,0.07692307692307693
Class 109,0.2
Class 110,0.0
Class 112,0.07692307692307693
Class 113,0.07692307692307693
Class 115,0.1111111111111111
Class 118,0.0
Class 120,0.18181818181818182
Class 121,0.5
Class 122,0.0
Class 123,0.0
Class 124,0.08333333333333333
Class 126,0.14285714285714285
Class 127,0.16666666666666666
Class 128,0.2
