,F1-score
Class 0,0.10526315789473685
Class 1,0.09090909090909091
Class 5,0.0
Class 8,0.0
Class 11,0.0
Class 13,0.08
Class 14,0.04878048780487805
Class 15,0.0
Class 16,0.08695652173913043
Class 18,0.0
Class 19,0.0
Class 20,0.0
Class 22,0.0
Class 24,0.09090909090909091
Class 25,0.08333333333333334
Class 26,0.25
Class 29,0.0
Class 30,0.2222222222222222
Class 31,0.2
Class 32,0.07142857142857142
Class 33,0.2857142857142857
Class 34,0.0
Class 36,0.0
Class 38,0.0
Class 40,0.0
Class 41,0.0
Class 42,0.14285714285714285
Class 43,0.10526315789473685
Class 44,0.22222222222222224
Class 45,0.25
Class 46,0.25
Class 47,0.7272727272727272
Class 48,0.0
Class 51,0.17777777777777778
Class 53,0.19047619047619047
Class 56,0.13333333333333333
Class 57,0.0
Class 58,0.12903225806451613
Class 59,0.0
Class 60,0.10810810810810811
Class 61,0.0
Class 62,0.0
Class 69,0.0
Class 70,0.0
Class 72,0.0
Class 73,0.18181818181818182
Class 74,0.2
Class 75,0.0
Class 76,0.0
Class 80,0.27027027027027023
Class 81,0.26666666666666666
Class 83,0.39999999999999997
Class 85,0.08333333333333333
Class 86,0.13333333333333333
Class 88,0.0
Class 90,0.125
Class 91,0.08
Class 92,0.11764705882352941
Class 93,0.0
Class 94,0.09090909090909091
Class 95,0.18181818181818182
Class 96,0.0
Class 97,0.11764705882352942
Class 98,0.19047619047619047
Class 99,0.15384615384615383
Class 100,0.0
Class 101,0.1
Class 103,0.13333333333333333
Class 108,0.1
Class 109,0.0
Class 110,0.19047619047619047
Class 111,0.2
Class 112,0.10810810810810811
Class 113,0.13793103448275862
Class 115,0.11764705882352941
Class 119,0.0
Class 120,0.125
Class 121,0.0
Class 122,0.0
Class 123,0.060606060606060615
Class 124,0.15384615384615383
Class 125,0.07407407407407408
Class 126,0.0
Class 127,0.0
Class 128,0.0
