,precision,recall,f1-score,support
Class 0,0.0,0.0,0.0,7.0
Class 1,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
Class 9,0.0,0.0,0.0,7.0
Class 10,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0
Class 13,0.6666666666666666,0.2857142857142857,0.4,7.0
Class 14,0.047619047619047616,0.14285714285714285,0.07142857142857142,7.0
Class 17,0.0,0.0,0.0,7.0
Class 19,0.0,0.0,0.0,7.0
Class 20,0.0,0.0,0.0,7.0
Class 21,0.0,0.0,0.0,7.0
Class 22,0.5,0.14285714285714285,0.22222222222222224,7.0
Class 23,0.0,0.0,0.0,7.0
Class 25,0.0,0.0,0.0,7.0
Class 26,0.0,0.0,0.0,7.0
Class 30,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
Class 32,0.04,0.14285714285714285,0.0625,7.0
Class 34,0.0,0.0,0.0,7.0
Class 36,0.0,0.0,0.0,7.0
Class 37,0.0,0.0,0.0,7.0
Class 38,0.06666666666666667,0.125,0.08695652173913045,8.0
Class 39,0.0,0.0,0.0,7.0
Class 40,0.0,0.0,0.0,7.0
Class 41,0.0,0.0,0.0,7.0
Class 42,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
Class 43,0.0,0.0,0.0,7.0
Class 45,1.0,0.2857142857142857,0.4444444444444445,7.0
Class 46,0.10714285714285714,0.42857142857142855,0.17142857142857143,7.0
Class 47,0.5714285714285714,0.6666666666666666,0.6153846153846153,6.0
Class 50,0.08333333333333333,0.2857142857142857,0.12903225806451613,7.0
Class 51,0.0,0.0,0.0,7.0
Class 52,0.0,0.0,0.0,6.0
Class 53,0.2,0.14285714285714285,0.16666666666666666,7.0
Class 54,0.09523809523809523,0.2857142857142857,0.14285714285714285,7.0
Class 55,0.0,0.0,0.0,7.0
Class 56,0.0,0.0,0.0,7.0
Class 58,0.10526315789473684,0.5714285714285714,0.17777777777777778,7.0
Class 59,0.0,0.0,0.0,7.0
Class 60,0.0,0.0,0.0,7.0
Class 63,0.0,0.0,0.0,7.0
Class 64,0.0,0.0,0.0,7.0
Class 65,0.0,0.0,0.0,7.0
Class 66,0.0,0.0,0.0,7.0
Class 67,0.0,0.0,0.0,7.0
Class 68,0.058823529411764705,0.14285714285714285,0.08333333333333333,7.0
Class 70,0.0,0.0,0.0,7.0
Class 72,1.0,0.16666666666666666,0.2857142857142857,6.0
Class 73,0.08333333333333333,0.14285714285714285,0.10526315789473685,7.0
Class 74,0.0,0.0,0.0,7.0
Class 75,0.11764705882352941,0.2857142857142857,0.16666666666666666,7.0
Class 78,0.0,0.0,0.0,7.0
Class 79,0.06976744186046512,0.42857142857142855,0.12,7.0
Class 80,0.25,0.16666666666666666,0.2,6.0
Class 81,0.0,0.0,0.0,8.0
Class 84,0.08333333333333333,0.14285714285714285,0.10526315789473685,7.0
Class 85,0.08333333333333333,0.16666666666666666,0.1111111111111111,6.0
Class 87,0.07692307692307693,0.14285714285714285,0.1,7.0
Class 92,0.3333333333333333,0.14285714285714285,0.2,7.0
Class 93,0.017857142857142856,0.16666666666666666,0.03225806451612903,6.0
Class 96,0.16666666666666666,0.2857142857142857,0.2105263157894737,7.0
Class 97,0.08695652173913043,0.3333333333333333,0.13793103448275862,6.0
Class 98,0.5,0.14285714285714285,0.22222222222222224,7.0
Class 100,0.0,0.0,0.0,7.0
Class 101,0.08333333333333333,0.14285714285714285,0.10526315789473685,7.0
Class 102,0.0,0.0,0.0,6.0
Class 107,0.08,0.2857142857142857,0.125,7.0
Class 108,0.07692307692307693,0.14285714285714285,0.1,7.0
Class 109,0.2,0.2857142857142857,0.23529411764705882,7.0
Class 110,0.0,0.0,0.0,7.0
Class 112,0.07692307692307693,0.14285714285714285,0.1,7.0
Class 113,0.07692307692307693,0.16666666666666666,0.10526315789473684,6.0
Class 115,0.1111111111111111,0.14285714285714285,0.125,7.0
Class 118,0.0,0.0,0.0,7.0
Class 120,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
Class 121,0.5,0.14285714285714285,0.22222222222222224,7.0
Class 122,0.0,0.0,0.0,7.0
Class 123,0.0,0.0,0.0,7.0
Class 124,0.08333333333333333,0.5714285714285714,0.14545454545454545,7.0
Class 126,0.14285714285714285,0.16666666666666666,0.15384615384615383,6.0
Class 127,0.16666666666666666,0.2857142857142857,0.2105263157894737,7.0
Class 128,0.2,0.14285714285714285,0.16666666666666666,7.0
micro avg,0.07631874298540965,0.12341197822141561,0.0943134535367545,551.0
macro avg,0.11122144592484488,0.12507440476190473,0.0922698029536367,551.0
weighted avg,0.10894811525323468,0.12341197822141561,0.09074208837386998,551.0
