=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 4.466 | Training Accuracy: 0.08%
Epoch: [  2| 30] | Training Loss: 4.327 | Training Accuracy: 0.11%
Epoch: [  3| 30] | Training Loss: 3.944 | Training Accuracy: 0.14%
Epoch: [  4| 30] | Training Loss: 3.658 | Training Accuracy: 0.16%
Epoch: [  5| 30] | Training Loss: 3.345 | Training Accuracy: 0.19%
Epoch: [  6| 30] | Training Loss: 3.181 | Training Accuracy: 0.21%
Epoch: [  7| 30] | Training Loss: 3.073 | Training Accuracy: 0.21%
Epoch: [  8| 30] | Training Loss: 2.672 | Training Accuracy: 0.26%
Epoch: [  9| 30] | Training Loss: 2.719 | Training Accuracy: 0.27%
Epoch: [ 10| 30] | Training Loss: 2.364 | Training Accuracy: 0.30%
Epoch: [ 11| 30] | Training Loss: 2.256 | Training Accuracy: 0.31%
Epoch: [ 12| 30] | Training Loss: 2.206 | Training Accuracy: 0.32%
Epoch: [ 13| 30] | Training Loss: 2.040 | Training Accuracy: 0.38%
Epoch: [ 14| 30] | Training Loss: 1.905 | Training Accuracy: 0.39%
Epoch: [ 15| 30] | Training Loss: 1.915 | Training Accuracy: 0.40%
Epoch: [ 16| 30] | Training Loss: 1.888 | Training Accuracy: 0.45%
Epoch: [ 17| 30] | Training Loss: 1.779 | Training Accuracy: 0.45%
Epoch: [ 18| 30] | Training Loss: 1.748 | Training Accuracy: 0.47%
Epoch: [ 19| 30] | Training Loss: 1.735 | Training Accuracy: 0.51%
Epoch: [ 20| 30] | Training Loss: 1.761 | Training Accuracy: 0.50%
Epoch: [ 21| 30] | Training Loss: 1.757 | Training Accuracy: 0.52%
Epoch: [ 22| 30] | Training Loss: 1.686 | Training Accuracy: 0.52%
Epoch: [ 23| 30] | Training Loss: 1.715 | Training Accuracy: 0.51%
Epoch: [ 24| 30] | Training Loss: 1.758 | Training Accuracy: 0.51%
Epoch: [ 25| 30] | Training Loss: 1.762 | Training Accuracy: 0.52%
Epoch: [ 26| 30] | Training Loss: 1.747 | Training Accuracy: 0.54%
Epoch: [ 27| 30] | Training Loss: 1.822 | Training Accuracy: 0.52%
Epoch: [ 28| 30] | Training Loss: 1.651 | Training Accuracy: 0.54%
Epoch: [ 29| 30] | Training Loss: 1.614 | Training Accuracy: 0.55%
Epoch: [ 30| 30] | Training Loss: 1.639 | Training Accuracy: 0.55%
