,Recall
Class 0,0.0
Class 1,0.2857142857142857
Class 9,0.0
Class 10,0.14285714285714285
Class 13,0.2857142857142857
Class 14,0.14285714285714285
Class 17,0.0
Class 19,0.0
Class 20,0.0
Class 21,0.0
Class 22,0.14285714285714285
Class 23,0.0
Class 25,0.0
Class 26,0.0
Class 30,0.16666666666666666
Class 32,0.14285714285714285
Class 34,0.0
Class 36,0.0
Class 37,0.0
Class 38,0.125
Class 39,0.0
Class 40,0.0
Class 41,0.0
Class 42,0.14285714285714285
Class 43,0.0
Class 45,0.2857142857142857
Class 46,0.42857142857142855
Class 47,0.6666666666666666
Class 50,0.2857142857142857
Class 51,0.0
Class 52,0.0
Class 53,0.14285714285714285
Class 54,0.2857142857142857
Class 55,0.0
Class 56,0.0
Class 58,0.5714285714285714
Class 59,0.0
Class 60,0.0
Class 63,0.0
Class 64,0.0
Class 65,0.0
Class 66,0.0
Class 67,0.0
Class 68,0.14285714285714285
Class 70,0.0
Class 72,0.16666666666666666
Class 73,0.14285714285714285
Class 74,0.0
Class 75,0.2857142857142857
Class 78,0.0
Class 79,0.42857142857142855
Class 80,0.16666666666666666
Class 81,0.0
Class 84,0.14285714285714285
Class 85,0.16666666666666666
Class 87,0.14285714285714285
Class 92,0.14285714285714285
Class 93,0.16666666666666666
Class 96,0.2857142857142857
Class 97,0.3333333333333333
Class 98,0.14285714285714285
Class 100,0.0
Class 101,0.14285714285714285
Class 102,0.0
Class 107,0.2857142857142857
Class 108,0.14285714285714285
Class 109,0.2857142857142857
Class 110,0.0
Class 112,0.14285714285714285
Class 113,0.16666666666666666
Class 115,0.14285714285714285
Class 118,0.0
Class 120,0.2857142857142857
Class 121,0.14285714285714285
Class 122,0.0
Class 123,0.0
Class 124,0.5714285714285714
Class 126,0.16666666666666666
Class 127,0.2857142857142857
Class 128,0.14285714285714285
