Epoch 1 - Loss: 0.276, MAE: 0.300, R²: 0.803, LR: 0.001
Epoch 2 - Loss: 0.245, MAE: 0.285, R²: 0.824, LR: 0.001
Epoch 3 - Loss: 0.263, MAE: 0.316, R²: 0.803, LR: 0.001
Epoch 4 - Loss: 0.236, MAE: 0.291, R²: 0.812, LR: 0.001
Epoch 5 - Loss: 0.275, MAE: 0.272, R²: 0.816, LR: 0.001
Epoch 6 - Loss: 0.235, MAE: 0.259, R²: 0.826, LR: 0.001
Epoch 7 - Loss: 0.245, MAE: 0.269, R²: 0.822, LR: 0.001
Epoch 8 - Loss: 0.231, MAE: 0.284, R²: 0.814, LR: 0.001
Epoch 9 - Loss: 0.212, MAE: 0.261, R²: 0.824, LR: 0.001
Epoch 10 - Loss: 0.220, MAE: 0.271, R²: 0.820, LR: 0.001
Epoch 11 - Loss: 0.219, MAE: 0.262, R²: 0.827, LR: 0.001
Epoch 12 - Loss: 0.230, MAE: 0.278, R²: 0.808, LR: 0.001
Epoch 13 - Loss: 0.227, MAE: 0.266, R²: 0.817, LR: 0.001
Epoch 14 - Loss: 0.210, MAE: 0.266, R²: 0.819, LR: 0.001
Epoch 15 - Loss: 0.226, MAE: 0.279, R²: 0.807, LR: 0.001
Epoch 16 - Loss: 0.202, MAE: 0.259, R²: 0.815, LR: 0.001
Epoch 17 - Loss: 0.233, MAE: 0.259, R²: 0.805, LR: 0.0005
Epoch 18 - Loss: 0.218, MAE: 0.252, R²: 0.815, LR: 0.0005
Epoch 19 - Loss: 0.220, MAE: 0.257, R²: 0.811, LR: 0.0005
Epoch 20 - Loss: 0.236, MAE: 0.269, R²: 0.793, LR: 0.0005
Epoch 21 - Loss: 0.215, MAE: 0.256, R²: 0.815, LR: 0.0005
Epoch 22 - Loss: 0.203, MAE: 0.254, R²: 0.821, LR: 0.0005
Epoch 23 - Loss: 0.218, MAE: 0.264, R²: 0.809, LR: 0.0005
Epoch 24 - Loss: 0.228, MAE: 0.258, R²: 0.807, LR: 0.0005
Epoch 25 - Loss: 0.212, MAE: 0.259, R²: 0.815, LR: 0.0005
Epoch 26 - Loss: 0.224, MAE: 0.262, R²: 0.809, LR: 0.0005
Epoch 27 - Loss: 0.219, MAE: 0.264, R²: 0.807, LR: 0.0005
Epoch 28 - Loss: 0.197, MAE: 0.262, R²: 0.809, LR: 0.0005
Epoch 29 - Loss: 0.212, MAE: 0.252, R²: 0.817, LR: 0.00025
Epoch 30 - Loss: 0.204, MAE: 0.256, R²: 0.812, LR: 0.00025
Epoch 31 - Loss: 0.213, MAE: 0.250, R²: 0.810, LR: 0.00025
Epoch 32 - Loss: 0.200, MAE: 0.257, R²: 0.812, LR: 0.00025
Epoch 33 - Loss: 0.209, MAE: 0.259, R²: 0.809, LR: 0.00025
Epoch 34 - Loss: 0.214, MAE: 0.263, R²: 0.802, LR: 0.00025
Epoch 35 - Loss: 0.200, MAE: 0.254, R²: 0.810, LR: 0.000125
Epoch 36 - Loss: 0.206, MAE: 0.255, R²: 0.810, LR: 0.000125
Epoch 37 - Loss: 0.209, MAE: 0.255, R²: 0.807, LR: 0.000125
Epoch 38 - Loss: 0.196, MAE: 0.248, R²: 0.814, LR: 0.000125
Epoch 39 - Loss: 0.218, MAE: 0.255, R²: 0.807, LR: 0.000125
Epoch 40 - Loss: 0.211, MAE: 0.251, R²: 0.809, LR: 0.000125
Epoch 41 - Loss: 0.209, MAE: 0.255, R²: 0.806, LR: 6.25e-05
Epoch 42 - Loss: 0.210, MAE: 0.254, R²: 0.805, LR: 6.25e-05
Epoch 43 - Loss: 0.209, MAE: 0.252, R²: 0.807, LR: 6.25e-05
Epoch 44 - Loss: 0.209, MAE: 0.254, R²: 0.807, LR: 6.25e-05
Epoch 45 - Loss: 0.210, MAE: 0.253, R²: 0.807, LR: 6.25e-05
Epoch 46 - Loss: 0.209, MAE: 0.251, R²: 0.807, LR: 6.25e-05
Epoch 47 - Loss: 0.211, MAE: 0.253, R²: 0.807, LR: 3.125e-05
Epoch 48 - Loss: 0.213, MAE: 0.252, R²: 0.806, LR: 3.125e-05
Epoch 49 - Loss: 0.208, MAE: 0.251, R²: 0.808, LR: 3.125e-05
Epoch 50 - Loss: 0.209, MAE: 0.254, R²: 0.805, LR: 3.125e-05
