Epoch 1 - Loss: 0.253, MAE: 0.420, R²: 0.644, LR: 0.001
Epoch 2 - Loss: 0.289, MAE: 0.355, R²: 0.753, LR: 0.001
Epoch 3 - Loss: 0.203, MAE: 0.335, R²: 0.773, LR: 0.001
Epoch 4 - Loss: 0.161, MAE: 0.332, R²: 0.760, LR: 0.001
Epoch 5 - Loss: 0.178, MAE: 0.326, R²: 0.775, LR: 0.001
Epoch 6 - Loss: 0.180, MAE: 0.305, R²: 0.794, LR: 0.001
Epoch 7 - Loss: 0.241, MAE: 0.318, R²: 0.783, LR: 0.001
Epoch 8 - Loss: 0.179, MAE: 0.327, R²: 0.757, LR: 0.001
Epoch 9 - Loss: 0.181, MAE: 0.307, R²: 0.795, LR: 0.001
Epoch 10 - Loss: 0.055, MAE: 0.309, R²: 0.780, LR: 0.001
Epoch 11 - Loss: 0.137, MAE: 0.311, R²: 0.777, LR: 0.001
Epoch 12 - Loss: 0.087, MAE: 0.317, R²: 0.754, LR: 0.001
Epoch 13 - Loss: 0.169, MAE: 0.306, R²: 0.793, LR: 0.001
Epoch 14 - Loss: 0.200, MAE: 0.304, R²: 0.793, LR: 0.001
Epoch 15 - Loss: 0.095, MAE: 0.297, R²: 0.795, LR: 0.001
Epoch 1 - Loss: 0.498, MAE: 0.292, R²: 0.809, LR: 0.001
Epoch 2 - Loss: 0.078, MAE: 0.313, R²: 0.778, LR: 0.001
Epoch 3 - Loss: 0.089, MAE: 0.294, R²: 0.803, LR: 0.001
Epoch 4 - Loss: 0.032, MAE: 0.302, R²: 0.784, LR: 0.001
Epoch 5 - Loss: 0.121, MAE: 0.281, R²: 0.808, LR: 0.001
Epoch 6 - Loss: 0.466, MAE: 0.291, R²: 0.807, LR: 0.001
Epoch 7 - Loss: 0.065, MAE: 0.275, R²: 0.809, LR: 0.001
Epoch 8 - Loss: 0.141, MAE: 0.282, R²: 0.815, LR: 0.001
Epoch 9 - Loss: 0.157, MAE: 0.279, R²: 0.800, LR: 0.001
Epoch 10 - Loss: 0.056, MAE: 0.282, R²: 0.809, LR: 0.001
Epoch 11 - Loss: 0.044, MAE: 0.286, R²: 0.805, LR: 0.001
Epoch 12 - Loss: 0.018, MAE: 0.271, R²: 0.816, LR: 0.001
Epoch 13 - Loss: 0.285, MAE: 0.274, R²: 0.807, LR: 0.001
Epoch 14 - Loss: 0.068, MAE: 0.272, R²: 0.812, LR: 0.001
Epoch 15 - Loss: 0.037, MAE: 0.277, R²: 0.809, LR: 0.001
Epoch 1 - Loss: 0.809, MAE: 0.288, R²: 0.800, LR: 0.001
Epoch 2 - Loss: 0.554, MAE: 0.300, R²: 0.788, LR: 0.001
Epoch 3 - Loss: 0.229, MAE: 0.298, R²: 0.802, LR: 0.001
Epoch 4 - Loss: 0.117, MAE: 0.294, R²: 0.792, LR: 0.001
Epoch 5 - Loss: 0.027, MAE: 0.276, R²: 0.810, LR: 0.001
Epoch 6 - Loss: 0.081, MAE: 0.278, R²: 0.814, LR: 0.001
Epoch 7 - Loss: 0.059, MAE: 0.281, R²: 0.803, LR: 0.001
Epoch 8 - Loss: 0.102, MAE: 0.286, R²: 0.801, LR: 0.001
Epoch 9 - Loss: 0.208, MAE: 0.270, R²: 0.818, LR: 0.001
Epoch 10 - Loss: 0.562, MAE: 0.282, R²: 0.805, LR: 0.001
Epoch 11 - Loss: 0.037, MAE: 0.279, R²: 0.802, LR: 0.001
Epoch 12 - Loss: 0.065, MAE: 0.282, R²: 0.805, LR: 0.001
Epoch 13 - Loss: 0.313, MAE: 0.282, R²: 0.796, LR: 0.001
Epoch 14 - Loss: 0.069, MAE: 0.273, R²: 0.811, LR: 0.001
Epoch 15 - Loss: 0.014, MAE: 0.277, R²: 0.799, LR: 0.001
