,Recall
Class 0,0.125
Class 2,0.14285714285714285
Class 8,0.0
Class 9,0.2857142857142857
Class 10,0.0
Class 12,0.14285714285714285
Class 13,0.0
Class 14,0.14285714285714285
Class 15,0.0
Class 16,0.0
Class 17,0.0
Class 18,0.0
Class 22,0.0
Class 23,0.0
Class 24,0.0
Class 25,0.0
Class 26,0.0
Class 28,0.14285714285714285
Class 29,0.0
Class 30,0.14285714285714285
Class 31,0.0
Class 32,0.3333333333333333
Class 33,0.0
Class 34,0.3333333333333333
Class 37,0.0
Class 38,0.0
Class 39,0.0
Class 40,0.5
Class 41,0.0
Class 42,0.0
Class 43,0.3333333333333333
Class 44,0.0
Class 46,0.16666666666666666
Class 47,0.3333333333333333
Class 49,0.0
Class 50,0.16666666666666666
Class 51,0.0
Class 52,0.16666666666666666
Class 54,0.16666666666666666
Class 59,0.16666666666666666
Class 60,0.4
Class 61,0.3333333333333333
Class 62,0.16666666666666666
Class 63,0.0
Class 70,0.16666666666666666
Class 72,0.16666666666666666
Class 73,0.0
Class 75,0.0
Class 76,0.3333333333333333
Class 77,0.0
Class 78,0.5
Class 79,0.16666666666666666
Class 81,0.0
Class 82,0.0
Class 83,0.0
Class 84,0.0
Class 85,0.8571428571428571
Class 88,0.14285714285714285
Class 89,0.2857142857142857
Class 93,0.0
Class 95,0.42857142857142855
Class 96,0.14285714285714285
Class 97,0.7142857142857143
Class 99,0.14285714285714285
Class 100,0.2857142857142857
Class 101,0.14285714285714285
Class 102,0.0
Class 104,0.0
Class 105,0.14285714285714285
Class 106,0.0
Class 107,0.0
Class 108,0.0
Class 110,0.0
Class 111,0.0
Class 112,0.14285714285714285
Class 113,0.42857142857142855
Class 115,0.0
Class 118,0.0
Class 120,0.0
Class 122,0.0
Class 123,0.0
Class 125,0.0
Class 126,0.0
Class 127,0.2857142857142857
