=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 5.083 | Training Accuracy: 0.09%
Epoch: [  2| 30] | Training Loss: 4.585 | Training Accuracy: 0.14%
Epoch: [  3| 30] | Training Loss: 4.350 | Training Accuracy: 0.17%
Epoch: [  4| 30] | Training Loss: 4.067 | Training Accuracy: 0.18%
Epoch: [  5| 30] | Training Loss: 3.639 | Training Accuracy: 0.21%
Epoch: [  6| 30] | Training Loss: 3.326 | Training Accuracy: 0.22%
Epoch: [  7| 30] | Training Loss: 3.068 | Training Accuracy: 0.24%
Epoch: [  8| 30] | Training Loss: 3.133 | Training Accuracy: 0.25%
Epoch: [  9| 30] | Training Loss: 2.775 | Training Accuracy: 0.28%
Epoch: [ 10| 30] | Training Loss: 2.682 | Training Accuracy: 0.32%
Epoch: [ 11| 30] | Training Loss: 2.653 | Training Accuracy: 0.35%
Epoch: [ 12| 30] | Training Loss: 2.410 | Training Accuracy: 0.38%
Epoch: [ 13| 30] | Training Loss: 2.579 | Training Accuracy: 0.36%
Epoch: [ 14| 30] | Training Loss: 2.197 | Training Accuracy: 0.37%
Epoch: [ 15| 30] | Training Loss: 2.180 | Training Accuracy: 0.37%
Epoch: [ 16| 30] | Training Loss: 2.012 | Training Accuracy: 0.41%
Epoch: [ 17| 30] | Training Loss: 1.925 | Training Accuracy: 0.45%
Epoch: [ 18| 30] | Training Loss: 1.919 | Training Accuracy: 0.47%
Epoch: [ 19| 30] | Training Loss: 1.859 | Training Accuracy: 0.48%
Epoch: [ 20| 30] | Training Loss: 1.838 | Training Accuracy: 0.51%
Epoch: [ 21| 30] | Training Loss: 1.857 | Training Accuracy: 0.49%
Epoch: [ 22| 30] | Training Loss: 1.998 | Training Accuracy: 0.52%
Epoch: [ 23| 30] | Training Loss: 1.815 | Training Accuracy: 0.52%
Epoch: [ 24| 30] | Training Loss: 1.788 | Training Accuracy: 0.53%
Epoch: [ 25| 30] | Training Loss: 1.765 | Training Accuracy: 0.52%
Epoch: [ 26| 30] | Training Loss: 1.770 | Training Accuracy: 0.54%
Epoch: [ 27| 30] | Training Loss: 1.764 | Training Accuracy: 0.53%
Epoch: [ 28| 30] | Training Loss: 1.792 | Training Accuracy: 0.53%
Epoch: [ 29| 30] | Training Loss: 1.797 | Training Accuracy: 0.54%
Epoch: [ 30| 30] | Training Loss: 1.707 | Training Accuracy: 0.52%
