,precision,recall,f1-score,support
Class 0,0.012987012987012988,0.125,0.023529411764705882,8.0
Class 2,0.5,0.14285714285714285,0.22222222222222224,7.0
Class 8,0.0,0.0,0.0,7.0
Class 9,0.058823529411764705,0.2857142857142857,0.0975609756097561,7.0
Class 10,0.0,0.0,0.0,7.0
Class 12,0.1,0.14285714285714285,0.11764705882352941,7.0
Class 13,0.0,0.0,0.0,7.0
Class 14,0.0625,0.14285714285714285,0.08695652173913043,7.0
Class 15,0.0,0.0,0.0,7.0
Class 16,0.0,0.0,0.0,7.0
Class 17,0.0,0.0,0.0,7.0
Class 18,0.0,0.0,0.0,7.0
Class 22,0.0,0.0,0.0,7.0
Class 23,0.0,0.0,0.0,7.0
Class 24,0.0,0.0,0.0,7.0
Class 25,0.0,0.0,0.0,6.0
Class 26,0.0,0.0,0.0,7.0
Class 28,1.0,0.14285714285714285,0.25,7.0
Class 29,0.0,0.0,0.0,5.0
Class 30,0.04,0.14285714285714285,0.0625,7.0
Class 31,0.0,0.0,0.0,5.0
Class 32,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
Class 33,0.0,0.0,0.0,6.0
Class 34,0.07142857142857142,0.3333333333333333,0.11764705882352941,6.0
Class 37,0.0,0.0,0.0,6.0
Class 38,0.0,0.0,0.0,7.0
Class 39,0.0,0.0,0.0,6.0
Class 40,0.07317073170731707,0.5,0.1276595744680851,6.0
Class 41,0.0,0.0,0.0,6.0
Class 42,0.0,0.0,0.0,6.0
Class 43,0.09523809523809523,0.3333333333333333,0.14814814814814814,6.0
Class 44,0.0,0.0,0.0,6.0
Class 46,0.25,0.16666666666666666,0.2,6.0
Class 47,0.14285714285714285,0.3333333333333333,0.2,6.0
Class 49,0.0,0.0,0.0,6.0
Class 50,0.07142857142857142,0.16666666666666666,0.1,6.0
Class 51,0.0,0.0,0.0,6.0
Class 52,0.08333333333333333,0.16666666666666666,0.1111111111111111,6.0
Class 54,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
Class 59,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
Class 60,0.05405405405405406,0.4,0.09523809523809523,5.0
Class 61,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Class 62,0.08333333333333333,0.16666666666666666,0.1111111111111111,6.0
Class 63,0.0,0.0,0.0,6.0
Class 70,0.09090909090909091,0.16666666666666666,0.11764705882352942,6.0
Class 72,1.0,0.16666666666666666,0.2857142857142857,6.0
Class 73,0.0,0.0,0.0,6.0
Class 75,0.0,0.0,0.0,6.0
Class 76,0.2,0.3333333333333333,0.25,6.0
Class 77,0.0,0.0,0.0,6.0
Class 78,0.25,0.5,0.3333333333333333,6.0
Class 79,0.5,0.16666666666666666,0.25,6.0
Class 81,0.0,0.0,0.0,7.0
Class 82,0.0,0.0,0.0,7.0
Class 83,0.0,0.0,0.0,7.0
Class 84,0.0,0.0,0.0,7.0
Class 85,0.07692307692307693,0.8571428571428571,0.1411764705882353,7.0
Class 88,0.5,0.14285714285714285,0.22222222222222224,7.0
Class 89,0.11764705882352941,0.2857142857142857,0.16666666666666666,7.0
Class 93,0.0,0.0,0.0,7.0
Class 95,0.6,0.42857142857142855,0.5,7.0
Class 96,0.3333333333333333,0.14285714285714285,0.2,7.0
Class 97,0.14705882352941177,0.7142857142857143,0.24390243902439024,7.0
Class 99,0.08333333333333333,0.14285714285714285,0.10526315789473685,7.0
Class 100,0.09090909090909091,0.2857142857142857,0.13793103448275862,7.0
Class 101,0.1,0.14285714285714285,0.11764705882352941,7.0
Class 102,0.0,0.0,0.0,7.0
Class 104,0.0,0.0,0.0,6.0
Class 105,0.16666666666666666,0.14285714285714285,0.15384615384615383,7.0
Class 106,0.0,0.0,0.0,6.0
Class 107,0.0,0.0,0.0,7.0
Class 108,0.0,0.0,0.0,7.0
Class 110,0.0,0.0,0.0,7.0
Class 111,0.0,0.0,0.0,7.0
Class 112,0.1111111111111111,0.14285714285714285,0.125,7.0
Class 113,0.08571428571428572,0.42857142857142855,0.14285714285714285,7.0
Class 115,0.0,0.0,0.0,7.0
Class 118,0.0,0.0,0.0,8.0
Class 120,0.0,0.0,0.0,7.0
Class 122,0.0,0.0,0.0,7.0
Class 123,0.0,0.0,0.0,7.0
Class 125,0.0,0.0,0.0,7.0
Class 126,0.0,0.0,0.0,7.0
Class 127,0.16666666666666666,0.2857142857142857,0.2105263157894737,7.0
micro avg,0.07764705882352942,0.11956521739130435,0.09415121255349501,552.0
macro avg,0.09591429346514917,0.12104591836734693,0.07869474698539215,552.0
weighted avg,0.09538661386735041,0.11956521739130435,0.07774981639405601,552.0
