,Precision
Class 0,0.012987012987012988
Class 2,0.5
Class 8,0.0
Class 9,0.058823529411764705
Class 10,0.0
Class 12,0.1
Class 13,0.0
Class 14,0.0625
Class 15,0.0
Class 16,0.0
Class 17,0.0
Class 18,0.0
Class 22,0.0
Class 23,0.0
Class 24,0.0
Class 25,0.0
Class 26,0.0
Class 28,1.0
Class 29,0.0
Class 30,0.04
Class 31,0.0
Class 32,0.2222222222222222
Class 33,0.0
Class 34,0.07142857142857142
Class 37,0.0
Class 38,0.0
Class 39,0.0
Class 40,0.07317073170731707
Class 41,0.0
Class 42,0.0
Class 43,0.09523809523809523
Class 44,0.0
Class 46,0.25
Class 47,0.14285714285714285
Class 49,0.0
Class 50,0.07142857142857142
Class 51,0.0
Class 52,0.08333333333333333
Class 54,0.09090909090909091
Class 59,0.09090909090909091
Class 60,0.05405405405405406
Class 61,0.3333333333333333
Class 62,0.08333333333333333
Class 63,0.0
Class 70,0.09090909090909091
Class 72,1.0
Class 73,0.0
Class 75,0.0
Class 76,0.2
Class 77,0.0
Class 78,0.25
Class 79,0.5
Class 81,0.0
Class 82,0.0
Class 83,0.0
Class 84,0.0
Class 85,0.07692307692307693
Class 88,0.5
Class 89,0.11764705882352941
Class 93,0.0
Class 95,0.6
Class 96,0.3333333333333333
Class 97,0.14705882352941177
Class 99,0.08333333333333333
Class 100,0.09090909090909091
Class 101,0.1
Class 102,0.0
Class 104,0.0
Class 105,0.16666666666666666
Class 106,0.0
Class 107,0.0
Class 108,0.0
Class 110,0.0
Class 111,0.0
Class 112,0.1111111111111111
Class 113,0.08571428571428572
Class 115,0.0
Class 118,0.0
Class 120,0.0
Class 122,0.0
Class 123,0.0
Class 125,0.0
Class 126,0.0
Class 127,0.16666666666666666
