,F1-score
Class 0,0.06896551724137931
Class 1,0.13333333333333333
Class 2,0.21428571428571427
Class 3,0.16666666666666669
Class 4,0.09999999999999999
Class 5,0.0
Class 6,0.09523809523809525
Class 7,0.08
Class 8,0.11764705882352942
Class 9,0.0
Class 10,0.12903225806451613
Class 11,0.14285714285714288
Class 12,0.0
Class 13,0.0
Class 14,0.0
Class 15,0.3333333333333333
Class 16,0.11764705882352942
Class 17,0.09523809523809525
Class 18,0.14814814814814814
Class 19,0.1111111111111111
Class 20,0.08
Class 21,0.0
Class 22,0.0
Class 23,0.045454545454545456
Class 24,0.0
Class 26,0.21428571428571427
Class 27,0.0
Class 28,0.0
Class 29,0.12500000000000003
Class 30,0.0
Class 31,0.23076923076923075
Class 32,0.2105263157894737
Class 33,0.24242424242424246
Class 34,0.16
Class 35,0.14285714285714288
Class 36,0.2105263157894737
Class 37,0.32
Class 39,0.24999999999999994
Class 40,0.14285714285714288
Class 41,0.23076923076923075
Class 42,0.2222222222222222
Class 44,0.2857142857142857
Class 45,0.11764705882352942
Class 46,0.0
Class 47,0.17391304347826086
Class 49,0.21428571428571427
Class 50,0.0
Class 51,0.09999999999999999
Class 52,0.0
Class 53,0.13333333333333333
Class 54,0.12500000000000003
Class 55,0.35294117647058826
Class 56,0.15384615384615383
Class 57,0.13333333333333333
Class 58,0.23076923076923075
Class 59,0.1818181818181818
Class 60,0.13333333333333333
Class 61,0.19999999999999998
Class 62,0.14285714285714288
Class 63,0.14285714285714288
Class 64,0.2222222222222222
Class 65,0.1904761904761905
Class 66,0.2352941176470588
Class 67,0.1904761904761905
Class 68,0.28571428571428575
Class 69,0.23529411764705885
Class 70,0.11764705882352942
Class 71,0.0
Class 72,0.2857142857142857
Class 73,0.20000000000000004
Class 74,0.0
Class 75,0.2285714285714286
Class 76,0.18181818181818182
Class 79,0.3
Class 80,0.32
Class 81,0.13333333333333333
Class 82,0.20689655172413793
Class 83,0.0
Class 84,0.09090909090909091
Class 85,0.12903225806451613
Class 86,0.14285714285714288
Class 87,0.29268292682926833
Class 88,0.09999999999999999
Class 89,0.15384615384615385
Class 90,0.0
Class 91,0.16
Class 92,0.3333333333333333
Class 93,0.28571428571428564
Class 94,0.0
Class 95,0.28571428571428564
Class 96,0.24999999999999994
Class 97,0.18181818181818182
Class 98,0.0
Class 99,0.2727272727272727
Class 100,0.380952380952381
Class 101,0.2727272727272727
Class 103,0.2962962962962963
Class 104,0.19999999999999998
Class 106,0.29268292682926833
Class 107,0.1111111111111111
Class 108,0.1904761904761905
Class 109,0.0
Class 110,0.2857142857142857
Class 111,0.21052631578947367
Class 113,0.09999999999999999
Class 114,0.14285714285714288
Class 115,0.29787234042553196
Class 116,0.09090909090909091
Class 118,0.17142857142857143
Class 120,0.2222222222222222
Class 122,0.29411764705882354
Class 123,0.2608695652173913
Class 124,0.16666666666666669
Class 125,0.0
Class 126,0.2285714285714286
Class 127,0.13333333333333333
Class 128,0.08333333333333334
