,F1-score
Class 0,0.0
Class 1,0.36363636363636365
Class 2,0.0
Class 3,0.12903225806451613
Class 4,0.11764705882352942
Class 6,0.1111111111111111
Class 7,0.0
Class 8,0.14285714285714288
Class 9,0.06451612903225806
Class 10,0.07692307692307691
Class 11,0.045454545454545456
Class 12,0.08695652173913043
Class 14,0.10526315789473685
Class 15,0.06896551724137931
Class 18,0.21428571428571427
Class 19,0.0
Class 20,0.18749999999999997
Class 23,0.0
Class 27,0.08695652173913043
Class 31,0.0
Class 33,0.125
Class 34,0.26666666666666666
Class 35,0.0
Class 36,0.0
Class 37,0.14285714285714288
Class 38,0.23809523809523805
Class 40,0.25
Class 41,0.17142857142857143
Class 43,0.19999999999999998
Class 44,0.14285714285714288
Class 45,0.14285714285714288
Class 46,0.1791044776119403
Class 48,0.1111111111111111
Class 49,0.13333333333333333
Class 50,0.0
Class 51,0.0
Class 52,0.2857142857142857
Class 53,0.19354838709677416
Class 54,0.0
Class 55,0.2727272727272727
Class 56,0.14814814814814814
Class 57,0.14285714285714288
Class 60,0.23999999999999996
Class 61,0.12500000000000003
Class 63,0.25641025641025644
Class 64,0.16666666666666669
Class 65,0.3225806451612903
Class 66,0.26666666666666666
Class 67,0.16666666666666669
Class 69,0.23529411764705885
Class 70,0.08695652173913043
Class 72,0.1904761904761905
Class 73,0.15384615384615383
Class 74,0.2105263157894737
Class 75,0.13333333333333333
Class 76,0.25806451612903225
Class 77,0.16666666666666666
Class 78,0.26666666666666666
Class 81,0.11764705882352942
Class 82,0.34782608695652173
Class 83,0.09523809523809525
Class 84,0.23529411764705885
Class 85,0.18181818181818182
Class 86,0.24999999999999994
Class 87,0.2352941176470588
Class 90,0.0
Class 91,0.0
Class 92,0.13333333333333333
Class 93,0.08
Class 94,0.11764705882352942
Class 95,0.24137931034482757
Class 97,0.29411764705882354
Class 99,0.10526315789473685
Class 100,0.3448275862068966
Class 101,0.23529411764705885
Class 102,0.13333333333333333
Class 103,0.14285714285714288
Class 104,0.1142857142857143
Class 106,0.3
Class 107,0.0
Class 108,0.2325581395348837
Class 109,0.0
Class 110,0.23529411764705885
Class 111,0.05405405405405406
Class 112,0.14285714285714288
Class 113,0.19999999999999998
Class 115,0.3529411764705882
Class 116,0.2222222222222222
Class 118,0.13333333333333333
Class 119,0.13333333333333333
Class 120,0.27586206896551724
Class 122,0.10526315789473685
Class 123,0.28571428571428575
Class 124,0.09090909090909091
Class 125,0.0
Class 126,0.2051282051282051
Class 127,0.27586206896551724
Class 128,0.0
