,Precision
Class 0,0.0
Class 1,0.36363636363636365
Class 2,0.0
Class 3,0.1
Class 4,0.16666666666666666
Class 6,0.14285714285714285
Class 7,0.0
Class 8,0.3333333333333333
Class 9,0.05
Class 10,0.06666666666666667
Class 11,0.025974025974025976
Class 12,0.08333333333333333
Class 14,0.125
Class 15,0.05555555555555555
Class 18,0.17647058823529413
Class 19,0.0
Class 20,0.14285714285714285
Class 23,0.0
Class 27,0.08333333333333333
Class 31,0.0
Class 33,0.09523809523809523
Class 34,0.21052631578947367
Class 35,0.0
Class 36,0.0
Class 37,0.3333333333333333
Class 38,0.16129032258064516
Class 40,0.16216216216216217
Class 41,0.125
Class 43,0.2222222222222222
Class 44,0.3333333333333333
Class 45,0.3333333333333333
Class 46,0.10714285714285714
Class 48,0.14285714285714285
Class 49,0.25
Class 50,0.0
Class 51,0.0
Class 52,0.23529411764705882
Class 53,0.15
Class 54,0.0
Class 55,0.2727272727272727
Class 56,0.125
Class 57,0.3333333333333333
Class 60,0.21428571428571427
Class 61,0.2
Class 63,0.17857142857142858
Class 64,0.15384615384615385
Class 65,0.25
Class 66,0.21052631578947367
Class 67,0.10810810810810811
Class 69,0.3333333333333333
Class 70,0.08333333333333333
Class 72,0.2
Class 73,0.3333333333333333
Class 74,0.25
Class 75,0.25
Class 76,0.2
Class 77,0.16666666666666666
Class 78,0.17647058823529413
Class 81,0.16666666666666666
Class 82,0.3333333333333333
Class 83,0.1
Class 84,0.3333333333333333
Class 85,0.18181818181818182
Class 86,0.23076923076923078
Class 87,0.17391304347826086
Class 90,0.0
Class 91,0.0
Class 92,0.25
Class 93,0.07142857142857142
Class 94,0.16666666666666666
Class 95,0.14893617021276595
Class 97,0.21739130434782608
Class 99,0.125
Class 100,0.2777777777777778
Class 101,0.3333333333333333
Class 102,0.10526315789473684
Class 103,0.3333333333333333
Class 104,0.08333333333333333
Class 106,0.20689655172413793
Class 107,0.0
Class 108,0.15625
Class 109,0.0
Class 110,0.3333333333333333
Class 111,0.038461538461538464
Class 112,0.3333333333333333
Class 113,0.15789473684210525
Class 115,0.2608695652173913
Class 116,0.2857142857142857
Class 118,0.25
Class 119,0.25
Class 120,0.2222222222222222
Class 122,0.125
Class 123,0.20833333333333334
Class 124,0.09090909090909091
Class 125,0.0
Class 126,0.14285714285714285
Class 127,0.2222222222222222
Class 128,0.0
