Time,Predicted,Truth,time,x,y,Predicted_x,Predicted_y,Truth_x,Truth_y,errors,errors_m
2023-08-11 14:15:00,1,0,2023-08-11 14:15:00,0,-7680,160,-7680,0,-7680,160.0,1.6
2023-08-11 14:16:00,4,3,2023-08-11 14:16:00,480,-7680,640,-7680,480,-7680,160.0,1.6
2023-08-11 14:16:00,2,1,2023-08-11 14:16:00,160,-7680,320,-7680,160,-7680,160.0,1.6
2023-08-11 14:16:00,4,5,2023-08-11 14:16:00,800,-7680,640,-7680,800,-7680,160.0,1.6
2023-08-11 14:16:00,4,4,2023-08-11 14:16:00,640,-7680,640,-7680,640,-7680,0.0,0.0
2023-08-11 14:16:00,2,2,2023-08-11 14:16:00,320,-7680,320,-7680,320,-7680,0.0,0.0
2023-08-11 14:17:00,0,9,2023-08-11 14:17:00,160,-7520,0,-7680,160,-7520,226.27416997969522,2.2627
2023-08-11 14:17:00,6,7,2023-08-11 14:17:00,1120,-7680,960,-7680,1120,-7680,160.0,1.6
2023-08-11 14:17:00,0,8,2023-08-11 14:17:00,0,-7520,0,-7680,0,-7520,160.0,1.6
2023-08-11 14:17:00,0,10,2023-08-11 14:17:00,320,-7520,0,-7680,320,-7520,357.77087639996637,3.5777
2023-08-11 14:17:00,6,6,2023-08-11 14:17:00,960,-7680,960,-7680,960,-7680,0.0,0.0
2023-08-11 14:18:00,20,12,2023-08-11 14:18:00,640,-7520,640,-7360,640,-7520,160.0,1.6
2023-08-11 14:18:00,20,13,2023-08-11 14:18:00,800,-7520,640,-7360,800,-7520,226.27416997969522,2.2627
2023-08-11 14:18:00,20,11,2023-08-11 14:18:00,480,-7520,640,-7360,480,-7520,226.27416997969522,2.2627
2023-08-11 14:18:00,23,14,2023-08-11 14:18:00,960,-7520,1120,-7360,960,-7520,226.27416997969522,2.2627
2023-08-11 14:18:00,23,15,2023-08-11 14:18:00,1120,-7520,1120,-7360,1120,-7520,160.0,1.6
2023-08-11 14:19:00,18,20,2023-08-11 14:19:00,640,-7360,320,-7360,640,-7360,320.0,3.2
2023-08-11 14:19:00,28,18,2023-08-11 14:19:00,320,-7360,640,-7200,320,-7360,357.77087639996637,3.5777
2023-08-11 14:19:00,18,19,2023-08-11 14:19:00,480,-7360,320,-7360,480,-7360,160.0,1.6
2023-08-11 14:19:00,28,16,2023-08-11 14:19:00,0,-7360,640,-7200,0,-7360,659.6969000988257,6.597
2023-08-11 14:19:00,28,17,2023-08-11 14:19:00,160,-7360,640,-7200,160,-7360,505.9644256269407,5.0596
2023-08-11 14:20:00,7,23,2023-08-11 14:20:00,1120,-7360,1120,-7680,1120,-7360,320.0,3.2
2023-08-11 14:20:00,17,24,2023-08-11 14:20:00,0,-7200,160,-7360,0,-7200,226.27416997969522,2.2627
2023-08-11 14:20:00,17,25,2023-08-11 14:20:00,160,-7200,160,-7360,160,-7200,160.0,1.6
2023-08-11 14:20:00,18,21,2023-08-11 14:20:00,800,-7360,320,-7360,800,-7360,480.0,4.8
2023-08-11 14:20:00,7,22,2023-08-11 14:20:00,960,-7360,1120,-7680,960,-7360,357.77087639996637,3.5777
2023-08-11 14:21:00,29,29,2023-08-11 14:21:00,800,-7200,800,-7200,800,-7200,0.0,0.0
2023-08-11 14:21:00,17,26,2023-08-11 14:21:00,320,-7200,160,-7360,320,-7200,226.27416997969522,2.2627
2023-08-11 14:21:00,29,27,2023-08-11 14:21:00,480,-7200,800,-7200,480,-7200,320.0,3.2
2023-08-11 14:21:00,29,28,2023-08-11 14:21:00,640,-7200,800,-7200,640,-7200,160.0,1.6
2023-08-11 14:21:00,29,30,2023-08-11 14:21:00,960,-7200,800,-7200,960,-7200,160.0,1.6
2023-08-11 14:23:00,128,35,2023-08-11 14:23:00,1280,-7200,1440,-7520,1280,-7200,357.77087639996637,3.5777
2023-08-11 14:23:00,128,32,2023-08-11 14:23:00,1280,-7680,1440,-7520,1280,-7680,226.27416997969522,2.2627
2023-08-11 14:23:00,128,34,2023-08-11 14:23:00,1280,-7360,1440,-7520,1280,-7360,226.27416997969522,2.2627
2023-08-11 14:23:00,23,31,2023-08-11 14:23:00,1120,-7200,1120,-7360,1120,-7200,160.0,1.6
2023-08-11 14:23:00,128,33,2023-08-11 14:23:00,1280,-7520,1440,-7520,1280,-7520,160.0,1.6
2023-08-11 14:24:00,42,39,2023-08-11 14:24:00,1280,-6560,1280,-6080,1280,-6560,480.0,4.8
