=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 4.196 | Training Accuracy: 0.15%
Epoch: [  2| 30] | Training Loss: 3.475 | Training Accuracy: 0.22%
Epoch: [  3| 30] | Training Loss: 2.952 | Training Accuracy: 0.27%
Epoch: [  4| 30] | Training Loss: 2.623 | Training Accuracy: 0.32%
Epoch: [  5| 30] | Training Loss: 2.381 | Training Accuracy: 0.36%
Epoch: [  6| 30] | Training Loss: 2.356 | Training Accuracy: 0.40%
Epoch: [  7| 30] | Training Loss: 2.313 | Training Accuracy: 0.42%
Epoch: [  8| 30] | Training Loss: 2.220 | Training Accuracy: 0.42%
Epoch: [  9| 30] | Training Loss: 1.865 | Training Accuracy: 0.42%
Epoch: [ 10| 30] | Training Loss: 1.966 | Training Accuracy: 0.47%
Epoch: [ 11| 30] | Training Loss: 1.346 | Training Accuracy: 0.49%
Epoch: [ 12| 30] | Training Loss: 1.343 | Training Accuracy: 0.48%
Epoch: [ 13| 30] | Training Loss: 1.228 | Training Accuracy: 0.55%
Epoch: [ 14| 30] | Training Loss: 1.350 | Training Accuracy: 0.56%
Epoch: [ 15| 30] | Training Loss: 1.849 | Training Accuracy: 0.58%
Epoch: [ 16| 30] | Training Loss: 1.390 | Training Accuracy: 0.65%
Epoch: [ 17| 30] | Training Loss: 1.341 | Training Accuracy: 0.68%
Epoch: [ 18| 30] | Training Loss: 1.270 | Training Accuracy: 0.72%
Epoch: [ 19| 30] | Training Loss: 1.498 | Training Accuracy: 0.73%
Epoch: [ 20| 30] | Training Loss: 1.387 | Training Accuracy: 0.74%
Epoch: [ 21| 30] | Training Loss: 1.428 | Training Accuracy: 0.75%
Epoch: [ 22| 30] | Training Loss: 1.311 | Training Accuracy: 0.73%
Epoch: [ 23| 30] | Training Loss: 1.447 | Training Accuracy: 0.73%
Epoch: [ 24| 30] | Training Loss: 1.292 | Training Accuracy: 0.76%
Epoch: [ 25| 30] | Training Loss: 1.394 | Training Accuracy: 0.75%
Epoch: [ 26| 30] | Training Loss: 1.558 | Training Accuracy: 0.75%
Epoch: [ 27| 30] | Training Loss: 1.229 | Training Accuracy: 0.75%
Epoch: [ 28| 30] | Training Loss: 1.281 | Training Accuracy: 0.74%
Epoch: [ 29| 30] | Training Loss: 1.397 | Training Accuracy: 0.77%
Epoch: [ 30| 30] | Training Loss: 1.310 | Training Accuracy: 0.79%
