,Recall
Class 0,0.0
Class 1,0.36363636363636365
Class 2,0.0
Class 3,0.18181818181818182
Class 4,0.09090909090909091
Class 6,0.09090909090909091
Class 7,0.0
Class 8,0.09090909090909091
Class 9,0.09090909090909091
Class 10,0.09090909090909091
Class 11,0.18181818181818182
Class 12,0.09090909090909091
Class 14,0.09090909090909091
Class 15,0.09090909090909091
Class 18,0.2727272727272727
Class 19,0.0
Class 20,0.2727272727272727
Class 23,0.0
Class 27,0.09090909090909091
Class 31,0.0
Class 33,0.18181818181818182
Class 34,0.36363636363636365
Class 35,0.0
Class 36,0.0
Class 37,0.09090909090909091
Class 38,0.45454545454545453
Class 40,0.5454545454545454
Class 41,0.2727272727272727
Class 43,0.18181818181818182
Class 44,0.09090909090909091
Class 45,0.09090909090909091
Class 46,0.5454545454545454
Class 48,0.09090909090909091
Class 49,0.09090909090909091
Class 50,0.0
Class 51,0.0
Class 52,0.36363636363636365
Class 53,0.2727272727272727
Class 54,0.0
Class 55,0.2727272727272727
Class 56,0.18181818181818182
Class 57,0.09090909090909091
Class 60,0.2727272727272727
Class 61,0.09090909090909091
Class 63,0.45454545454545453
Class 64,0.18181818181818182
Class 65,0.45454545454545453
Class 66,0.36363636363636365
Class 67,0.36363636363636365
Class 69,0.18181818181818182
Class 70,0.09090909090909091
Class 72,0.18181818181818182
Class 73,0.1
Class 74,0.18181818181818182
Class 75,0.09090909090909091
Class 76,0.36363636363636365
Class 77,0.16666666666666666
Class 78,0.5454545454545454
Class 81,0.09090909090909091
Class 82,0.36363636363636365
Class 83,0.09090909090909091
Class 84,0.18181818181818182
Class 85,0.18181818181818182
Class 86,0.2727272727272727
Class 87,0.36363636363636365
Class 90,0.0
Class 91,0.0
Class 92,0.09090909090909091
Class 93,0.09090909090909091
Class 94,0.09090909090909091
Class 95,0.6363636363636364
Class 97,0.45454545454545453
Class 99,0.09090909090909091
Class 100,0.45454545454545453
Class 101,0.18181818181818182
Class 102,0.18181818181818182
Class 103,0.09090909090909091
Class 104,0.18181818181818182
Class 106,0.5454545454545454
Class 107,0.0
Class 108,0.45454545454545453
Class 109,0.0
Class 110,0.18181818181818182
Class 111,0.09090909090909091
Class 112,0.09090909090909091
Class 113,0.2727272727272727
Class 115,0.5454545454545454
Class 116,0.18181818181818182
Class 118,0.09090909090909091
Class 119,0.09090909090909091
Class 120,0.36363636363636365
Class 122,0.09090909090909091
Class 123,0.45454545454545453
Class 124,0.09090909090909091
Class 125,0.0
Class 126,0.36363636363636365
Class 127,0.36363636363636365
Class 128,0.0
