,Precision
Class 0,0.058823529411764705
Class 2,0.13636363636363635
Class 3,0.0
Class 4,0.15
Class 6,0.3333333333333333
Class 8,0.0
Class 9,0.05263157894736842
Class 11,0.058823529411764705
Class 12,0.25
Class 13,0.0
Class 14,0.0
Class 15,0.0
Class 16,0.0
Class 17,0.0
Class 19,0.0
Class 20,0.06666666666666667
Class 21,0.3333333333333333
Class 23,0.0
Class 24,0.0
Class 26,0.0
Class 27,0.0
Class 28,0.07692307692307693
Class 29,0.07142857142857142
Class 30,0.0625
Class 31,0.16666666666666666
Class 32,0.25
Class 33,0.25
Class 34,0.05263157894736842
Class 35,0.0
Class 36,0.14285714285714285
Class 37,0.23076923076923078
Class 38,0.0
Class 39,0.12121212121212122
Class 40,0.3333333333333333
Class 41,0.0
Class 42,0.1875
Class 43,0.0
Class 44,0.18181818181818182
Class 45,0.13333333333333333
Class 47,0.2222222222222222
Class 48,0.15789473684210525
Class 49,0.0
Class 50,0.20588235294117646
Class 51,0.0
Class 52,0.0
Class 53,0.125
Class 54,0.3333333333333333
Class 55,0.2
Class 56,0.3333333333333333
Class 57,0.3333333333333333
Class 58,0.18181818181818182
Class 59,0.21428571428571427
Class 60,0.26666666666666666
Class 61,0.25
Class 62,0.2857142857142857
Class 63,0.2857142857142857
Class 64,0.25
Class 66,0.1951219512195122
Class 67,0.25
Class 69,0.2727272727272727
Class 70,0.26666666666666666
Class 71,0.25
Class 72,0.25
Class 73,0.15625
Class 74,0.0
Class 76,0.1875
Class 77,0.0
Class 79,0.4
Class 80,0.0
Class 81,0.3333333333333333
Class 82,0.18181818181818182
Class 83,0.16666666666666666
Class 85,0.16666666666666666
Class 86,0.2222222222222222
Class 87,0.25
Class 88,0.16129032258064516
Class 89,0.1875
Class 91,0.21739130434782608
Class 92,0.08333333333333333
Class 94,0.125
Class 95,0.0
Class 96,0.16666666666666666
Class 97,0.2
Class 98,0.3333333333333333
Class 99,0.1111111111111111
Class 100,0.23529411764705882
Class 102,0.25
Class 104,0.23076923076923078
Class 105,0.25
Class 106,0.3333333333333333
Class 108,0.25
Class 109,0.25
Class 110,0.15
Class 111,0.125
Class 112,0.25
Class 113,0.2
Class 114,0.25
Class 116,0.25
Class 117,0.25
Class 118,0.24242424242424243
Class 119,0.0
Class 121,0.25
Class 122,0.0
Class 123,0.0
Class 124,0.25
Class 125,0.14285714285714285
Class 126,0.5
