,Recall
Class 0,0.09090909090909091
Class 2,0.3
Class 3,0.0
Class 4,0.3
Class 6,0.3
Class 8,0.0
Class 9,0.1
Class 11,0.1
Class 12,0.1
Class 13,0.0
Class 14,0.0
Class 15,0.0
Class 16,0.0
Class 17,0.0
Class 19,0.0
Class 20,0.1
Class 21,0.1
Class 23,0.0
Class 24,0.0
Class 26,0.0
Class 27,0.0
Class 28,0.3
Class 29,0.1
Class 30,0.2
Class 31,0.3
Class 32,0.3
Class 33,0.4
Class 34,0.1
Class 35,0.0
Class 36,0.1
Class 37,0.3
Class 38,0.0
Class 39,0.4
Class 40,0.3
Class 41,0.0
Class 42,0.6
Class 43,0.0
Class 44,0.2
Class 45,0.2
Class 47,0.2
Class 48,0.3
Class 49,0.0
Class 50,0.7
Class 51,0.0
Class 52,0.0
Class 53,0.2222222222222222
Class 54,0.2727272727272727
Class 55,0.2
Class 56,0.1
Class 57,0.1
Class 58,0.6
Class 59,0.3
Class 60,0.4
Class 61,0.1
Class 62,0.2
Class 63,0.2
Class 64,0.1
Class 66,0.8
Class 67,0.2
Class 69,0.3
Class 70,0.4
Class 71,0.1
Class 72,0.1
Class 73,0.5
Class 74,0.0
Class 76,0.3
Class 77,0.0
Class 79,0.4
Class 80,0.0
Class 81,0.2
Class 82,0.4
Class 83,0.3
Class 85,0.1
Class 86,0.2
Class 87,0.1
Class 88,0.5
Class 89,0.3
Class 91,0.5
Class 92,0.1
Class 94,0.1
Class 95,0.0
Class 96,0.2
Class 97,0.3
Class 98,0.3
Class 99,0.1
Class 100,0.4
Class 102,0.1
Class 104,0.3
Class 105,0.2
Class 106,0.2
Class 108,0.2
Class 109,0.2
Class 110,0.3
Class 111,0.1
Class 112,0.3
Class 113,0.3
Class 114,0.1
Class 116,0.1
Class 117,0.1
Class 118,0.8
Class 119,0.0
Class 121,0.6
Class 122,0.0
Class 123,0.0
Class 124,0.1
Class 125,0.1
Class 126,0.1
