,precision,recall,f1-score,support
Class 1,0.0,0.0,0.0,10.0
Class 2,0.07407407407407407,0.2,0.10810810810810811,10.0
Class 4,0.11764705882352941,0.2,0.14814814814814817,10.0
Class 5,0.045454545454545456,0.1,0.06250000000000001,10.0
Class 6,0.0,0.0,0.0,10.0
Class 10,0.0,0.0,0.0,10.0
Class 11,0.016666666666666666,0.1,0.028571428571428574,10.0
Class 12,0.0,0.0,0.0,10.0
Class 14,0.5,0.1,0.16666666666666669,10.0
Class 16,0.0,0.0,0.0,10.0
Class 17,0.0,0.0,0.0,10.0
Class 18,0.0,0.0,0.0,10.0
Class 19,0.25,0.1,0.14285714285714288,10.0
Class 26,0.0,0.0,0.0,10.0
Class 27,0.0,0.0,0.0,10.0
Class 29,0.11764705882352941,0.2,0.14814814814814817,10.0
Class 31,0.23076923076923078,0.3,0.2608695652173913,10.0
Class 32,0.0,0.0,0.0,10.0
Class 33,0.1111111111111111,0.4,0.1739130434782609,10.0
Class 34,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 35,0.19230769230769232,0.5,0.2777777777777778,10.0
Class 37,0.0,0.0,0.0,10.0
Class 38,0.1111111111111111,0.1,0.10526315789473685,10.0
Class 40,0.16,0.8,0.26666666666666666,10.0
Class 41,0.15384615384615385,0.2,0.17391304347826086,10.0
Class 42,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 43,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 44,0.0,0.0,0.0,10.0
Class 45,0.15,0.6,0.24,10.0
Class 46,0.09090909090909091,0.1,0.09523809523809525,10.0
Class 47,0.25,0.1,0.14285714285714288,10.0
Class 49,0.14814814814814814,0.4,0.21621621621621623,10.0
Class 50,0.2727272727272727,0.3,0.28571428571428564,10.0
Class 51,0.0,0.0,0.0,9.0
Class 53,0.25,0.1111111111111111,0.15384615384615383,9.0
Class 55,0.08333333333333333,0.1,0.0909090909090909,10.0
Class 56,0.2727272727272727,0.3,0.28571428571428564,10.0
Class 58,0.0,0.0,0.0,10.0
Class 59,0.06818181818181818,0.3,0.11111111111111109,10.0
Class 60,0.2,0.4,0.26666666666666666,10.0
Class 61,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 62,0.25,0.1,0.14285714285714288,10.0
Class 65,0.0,0.0,0.0,10.0
Class 66,0.16,0.4,0.22857142857142856,10.0
Class 67,0.2,0.3,0.24,10.0
Class 68,0.0,0.0,0.0,9.0
Class 70,0.0,0.0,0.0,10.0
Class 71,0.15151515151515152,1.0,0.2631578947368421,10.0
Class 72,0.0,0.0,0.0,10.0
Class 73,0.08333333333333333,0.1,0.0909090909090909,10.0
Class 75,0.2857142857142857,0.2,0.23529411764705882,10.0
Class 77,0.0,0.0,0.0,10.0
Class 79,0.2857142857142857,0.2,0.23529411764705882,10.0
Class 81,0.16666666666666666,0.1,0.125,10.0
Class 82,0.18421052631578946,0.7,0.29166666666666663,10.0
Class 86,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 87,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 88,0.16666666666666666,0.5,0.25,10.0
Class 90,0.17647058823529413,0.3,0.22222222222222224,10.0
Class 91,0.2727272727272727,0.3,0.28571428571428564,10.0
Class 95,0.25,0.1,0.14285714285714288,10.0
Class 96,0.16666666666666666,0.2,0.1818181818181818,10.0
Class 100,0.12962962962962962,0.7,0.21875,10.0
Class 101,0.0,0.0,0.0,10.0
Class 102,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 103,0.0,0.0,0.0,10.0
Class 104,0.2,0.2,0.20000000000000004,10.0
Class 105,0.18181818181818182,0.2,0.1904761904761905,10.0
Class 106,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 109,0.25,0.1,0.14285714285714288,10.0
Class 110,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 111,0.25,0.3,0.2727272727272727,10.0
Class 112,0.125,0.1,0.11111111111111112,10.0
Class 113,0.25,0.1,0.14285714285714288,10.0
Class 114,0.2,0.3,0.24,10.0
Class 116,0.25,0.1,0.14285714285714288,10.0
Class 117,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 118,0.125,0.2,0.15384615384615385,10.0
Class 119,0.23076923076923078,0.6,0.33333333333333337,10.0
Class 120,0.0,0.0,0.0,10.0
Class 121,0.21428571428571427,0.6,0.3157894736842105,10.0
Class 123,0.02702702702702703,0.1,0.0425531914893617,10.0
Class 124,0.037037037037037035,0.1,0.05405405405405406,10.0
Class 126,0.09090909090909091,0.1,0.09523809523809525,10.0
micro avg,0.11990595611285267,0.1827956989247312,0.14481779460482727,837.0
macro avg,0.13593213314907254,0.18227513227513226,0.1293423274974989,837.0
weighted avg,0.13612065931328665,0.1827956989247312,0.12962211343375502,837.0
