=========================
Training CLS
=========================
Epoch: [  1| 30] | Training Loss: 3.600 | Training Accuracy: 0.16%
Epoch: [  2| 30] | Training Loss: 3.013 | Training Accuracy: 0.21%
Epoch: [  3| 30] | Training Loss: 2.653 | Training Accuracy: 0.25%
Epoch: [  4| 30] | Training Loss: 2.420 | Training Accuracy: 0.28%
Epoch: [  5| 30] | Training Loss: 2.244 | Training Accuracy: 0.31%
Epoch: [  6| 30] | Training Loss: 2.099 | Training Accuracy: 0.35%
Epoch: [  7| 30] | Training Loss: 1.980 | Training Accuracy: 0.39%
Epoch: [  8| 30] | Training Loss: 1.929 | Training Accuracy: 0.41%
Epoch: [  9| 30] | Training Loss: 1.861 | Training Accuracy: 0.43%
Epoch: [ 10| 30] | Training Loss: 1.786 | Training Accuracy: 0.46%
Epoch: [ 11| 30] | Training Loss: 1.740 | Training Accuracy: 0.48%
Epoch: [ 12| 30] | Training Loss: 2.009 | Training Accuracy: 0.42%
Epoch: [ 13| 30] | Training Loss: 1.890 | Training Accuracy: 0.48%
Epoch: [ 14| 30] | Training Loss: 1.972 | Training Accuracy: 0.51%
Epoch: [ 15| 30] | Training Loss: 2.086 | Training Accuracy: 0.52%
Epoch: [ 16| 30] | Training Loss: 2.318 | Training Accuracy: 0.64%
Epoch: [ 17| 30] | Training Loss: 1.756 | Training Accuracy: 0.67%
Epoch: [ 18| 30] | Training Loss: 1.683 | Training Accuracy: 0.69%
Epoch: [ 19| 30] | Training Loss: 1.633 | Training Accuracy: 0.72%
Epoch: [ 20| 30] | Training Loss: 1.700 | Training Accuracy: 0.70%
Epoch: [ 21| 30] | Training Loss: 1.827 | Training Accuracy: 0.72%
Epoch: [ 22| 30] | Training Loss: 2.113 | Training Accuracy: 0.72%
Epoch: [ 23| 30] | Training Loss: 2.048 | Training Accuracy: 0.72%
Epoch: [ 24| 30] | Training Loss: 2.250 | Training Accuracy: 0.73%
Epoch: [ 25| 30] | Training Loss: 1.942 | Training Accuracy: 0.72%
Epoch: [ 26| 30] | Training Loss: 1.971 | Training Accuracy: 0.73%
Epoch: [ 27| 30] | Training Loss: 1.905 | Training Accuracy: 0.74%
Epoch: [ 28| 30] | Training Loss: 1.988 | Training Accuracy: 0.74%
Epoch: [ 29| 30] | Training Loss: 1.919 | Training Accuracy: 0.73%
Epoch: [ 30| 30] | Training Loss: 1.897 | Training Accuracy: 0.73%
