,Recall
Class 1,0.0
Class 2,0.2
Class 4,0.2
Class 5,0.1
Class 6,0.0
Class 10,0.0
Class 11,0.1
Class 12,0.0
Class 14,0.1
Class 16,0.0
Class 17,0.0
Class 18,0.0
Class 19,0.1
Class 26,0.0
Class 27,0.0
Class 29,0.2
Class 31,0.3
Class 32,0.0
Class 33,0.4
Class 34,0.1
Class 35,0.5
Class 37,0.0
Class 38,0.1
Class 40,0.8
Class 41,0.2
Class 42,0.1
Class 43,0.1
Class 44,0.0
Class 45,0.6
Class 46,0.1
Class 47,0.1
Class 49,0.4
Class 50,0.3
Class 51,0.0
Class 53,0.1111111111111111
Class 55,0.1
Class 56,0.3
Class 58,0.0
Class 59,0.3
Class 60,0.4
Class 61,0.1
Class 62,0.1
Class 65,0.0
Class 66,0.4
Class 67,0.3
Class 68,0.0
Class 70,0.0
Class 71,1.0
Class 72,0.0
Class 73,0.1
Class 75,0.2
Class 77,0.0
Class 79,0.2
Class 81,0.1
Class 82,0.7
Class 86,0.1
Class 87,0.1
Class 88,0.5
Class 90,0.3
Class 91,0.3
Class 95,0.1
Class 96,0.2
Class 100,0.7
Class 101,0.0
Class 102,0.1
Class 103,0.0
Class 104,0.2
Class 105,0.2
Class 106,0.1
Class 109,0.1
Class 110,0.1
Class 111,0.3
Class 112,0.1
Class 113,0.1
Class 114,0.3
Class 116,0.1
Class 117,0.1
Class 118,0.2
Class 119,0.6
Class 120,0.0
Class 121,0.6
Class 123,0.1
Class 124,0.1
Class 126,0.1
