,precision,recall,f1-score,support
Class 0,0.058823529411764705,0.09090909090909091,0.07142857142857142,11.0
Class 2,0.13636363636363635,0.3,0.18749999999999997,10.0
Class 3,0.0,0.0,0.0,10.0
Class 4,0.15,0.3,0.2,10.0
Class 6,0.3333333333333333,0.3,0.3157894736842105,10.0
Class 8,0.0,0.0,0.0,10.0
Class 9,0.05263157894736842,0.1,0.06896551724137931,10.0
Class 11,0.058823529411764705,0.1,0.07407407407407408,10.0
Class 12,0.25,0.1,0.14285714285714288,10.0
Class 13,0.0,0.0,0.0,9.0
Class 14,0.0,0.0,0.0,10.0
Class 15,0.0,0.0,0.0,11.0
Class 16,0.0,0.0,0.0,10.0
Class 17,0.0,0.0,0.0,10.0
Class 19,0.0,0.0,0.0,10.0
Class 20,0.06666666666666667,0.1,0.08,10.0
Class 21,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 23,0.0,0.0,0.0,10.0
Class 24,0.0,0.0,0.0,11.0
Class 26,0.0,0.0,0.0,10.0
Class 27,0.0,0.0,0.0,10.0
Class 28,0.07692307692307693,0.3,0.12244897959183675,10.0
Class 29,0.07142857142857142,0.1,0.08333333333333333,10.0
Class 30,0.0625,0.2,0.09523809523809523,10.0
Class 31,0.16666666666666666,0.3,0.21428571428571427,10.0
Class 32,0.25,0.3,0.2727272727272727,10.0
Class 33,0.25,0.4,0.3076923076923077,10.0
Class 34,0.05263157894736842,0.1,0.06896551724137931,10.0
Class 35,0.0,0.0,0.0,10.0
Class 36,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 37,0.23076923076923078,0.3,0.2608695652173913,10.0
Class 38,0.0,0.0,0.0,10.0
Class 39,0.12121212121212122,0.4,0.186046511627907,10.0
Class 40,0.3333333333333333,0.3,0.3157894736842105,10.0
Class 41,0.0,0.0,0.0,10.0
Class 42,0.1875,0.6,0.2857142857142857,10.0
Class 43,0.0,0.0,0.0,10.0
Class 44,0.18181818181818182,0.2,0.1904761904761905,10.0
Class 45,0.13333333333333333,0.2,0.16,10.0
Class 47,0.2222222222222222,0.2,0.2105263157894737,10.0
Class 48,0.15789473684210525,0.3,0.20689655172413793,10.0
Class 49,0.0,0.0,0.0,10.0
Class 50,0.20588235294117646,0.7,0.3181818181818182,10.0
Class 51,0.0,0.0,0.0,9.0
Class 52,0.0,0.0,0.0,10.0
Class 53,0.125,0.2222222222222222,0.16,9.0
Class 54,0.3333333333333333,0.2727272727272727,0.3,11.0
Class 55,0.2,0.2,0.20000000000000004,10.0
Class 56,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 57,0.3333333333333333,0.1,0.15384615384615383,10.0
Class 58,0.18181818181818182,0.6,0.27906976744186046,10.0
Class 59,0.21428571428571427,0.3,0.25,10.0
Class 60,0.26666666666666666,0.4,0.32,10.0
Class 61,0.25,0.1,0.14285714285714288,10.0
Class 62,0.2857142857142857,0.2,0.23529411764705882,10.0
Class 63,0.2857142857142857,0.2,0.23529411764705882,10.0
Class 64,0.25,0.1,0.14285714285714288,10.0
Class 66,0.1951219512195122,0.8,0.3137254901960785,10.0
Class 67,0.25,0.2,0.22222222222222224,10.0
Class 69,0.2727272727272727,0.3,0.28571428571428564,10.0
Class 70,0.26666666666666666,0.4,0.32,10.0
Class 71,0.25,0.1,0.14285714285714288,10.0
Class 72,0.25,0.1,0.14285714285714288,10.0
Class 73,0.15625,0.5,0.23809523809523808,10.0
Class 74,0.0,0.0,0.0,10.0
Class 76,0.1875,0.3,0.23076923076923075,10.0
Class 77,0.0,0.0,0.0,10.0
Class 79,0.4,0.4,0.4000000000000001,10.0
Class 80,0.0,0.0,0.0,10.0
Class 81,0.3333333333333333,0.2,0.25,10.0
Class 82,0.18181818181818182,0.4,0.25000000000000006,10.0
Class 83,0.16666666666666666,0.3,0.21428571428571427,10.0
Class 85,0.16666666666666666,0.1,0.125,10.0
Class 86,0.2222222222222222,0.2,0.2105263157894737,10.0
Class 87,0.25,0.1,0.14285714285714288,10.0
Class 88,0.16129032258064516,0.5,0.24390243902439024,10.0
Class 89,0.1875,0.3,0.23076923076923075,10.0
Class 91,0.21739130434782608,0.5,0.30303030303030304,10.0
Class 92,0.08333333333333333,0.1,0.0909090909090909,10.0
Class 94,0.125,0.1,0.11111111111111112,10.0
Class 95,0.0,0.0,0.0,10.0
Class 96,0.16666666666666666,0.2,0.1818181818181818,10.0
Class 97,0.2,0.3,0.24,10.0
Class 98,0.3333333333333333,0.3,0.3157894736842105,10.0
Class 99,0.1111111111111111,0.1,0.10526315789473685,10.0
Class 100,0.23529411764705882,0.4,0.29629629629629634,10.0
Class 102,0.25,0.1,0.14285714285714288,10.0
Class 104,0.23076923076923078,0.3,0.2608695652173913,10.0
Class 105,0.25,0.2,0.22222222222222224,10.0
Class 106,0.3333333333333333,0.2,0.25,10.0
Class 108,0.25,0.2,0.22222222222222224,10.0
Class 109,0.25,0.2,0.22222222222222224,10.0
Class 110,0.15,0.3,0.2,10.0
Class 111,0.125,0.1,0.11111111111111112,10.0
Class 112,0.25,0.3,0.2727272727272727,10.0
Class 113,0.2,0.3,0.24,10.0
Class 114,0.25,0.1,0.14285714285714288,10.0
Class 116,0.25,0.1,0.14285714285714288,10.0
Class 117,0.25,0.1,0.14285714285714288,10.0
Class 118,0.24242424242424243,0.8,0.372093023255814,10.0
Class 119,0.0,0.0,0.0,10.0
Class 121,0.25,0.6,0.35294117647058826,10.0
Class 122,0.0,0.0,0.0,10.0
Class 123,0.0,0.0,0.0,10.0
Class 124,0.25,0.1,0.14285714285714288,10.0
Class 125,0.14285714285714285,0.1,0.11764705882352941,10.0
Class 126,0.5,0.1,0.16666666666666669,10.0
micro avg,0.16222570532915362,0.19327731092436976,0.1763953983809118,1071.0
macro avg,0.1601908821559437,0.1933257811762485,0.15530067276662585,1071.0
weighted avg,0.16029075702110632,0.19327731092436976,0.1553530797681776,1071.0
