,F1-score
Class 1,0.0
Class 2,0.10810810810810811
Class 4,0.14814814814814817
Class 5,0.06250000000000001
Class 6,0.0
Class 10,0.0
Class 11,0.028571428571428574
Class 12,0.0
Class 14,0.16666666666666669
Class 16,0.0
Class 17,0.0
Class 18,0.0
Class 19,0.14285714285714288
Class 26,0.0
Class 27,0.0
Class 29,0.14814814814814817
Class 31,0.2608695652173913
Class 32,0.0
Class 33,0.1739130434782609
Class 34,0.15384615384615383
Class 35,0.2777777777777778
Class 37,0.0
Class 38,0.10526315789473685
Class 40,0.26666666666666666
Class 41,0.17391304347826086
Class 42,0.15384615384615383
Class 43,0.11764705882352941
Class 44,0.0
Class 45,0.24
Class 46,0.09523809523809525
Class 47,0.14285714285714288
Class 49,0.21621621621621623
Class 50,0.28571428571428564
Class 51,0.0
Class 53,0.15384615384615383
Class 55,0.0909090909090909
Class 56,0.28571428571428564
Class 58,0.0
Class 59,0.11111111111111109
Class 60,0.26666666666666666
Class 61,0.11764705882352941
Class 62,0.14285714285714288
Class 65,0.0
Class 66,0.22857142857142856
Class 67,0.24
Class 68,0.0
Class 70,0.0
Class 71,0.2631578947368421
Class 72,0.0
Class 73,0.0909090909090909
Class 75,0.23529411764705882
Class 77,0.0
Class 79,0.23529411764705882
Class 81,0.125
Class 82,0.29166666666666663
Class 86,0.11764705882352941
Class 87,0.11764705882352941
Class 88,0.25
Class 90,0.22222222222222224
Class 91,0.28571428571428564
Class 95,0.14285714285714288
Class 96,0.1818181818181818
Class 100,0.21875
Class 101,0.0
Class 102,0.15384615384615383
Class 103,0.0
Class 104,0.20000000000000004
Class 105,0.1904761904761905
Class 106,0.11764705882352941
Class 109,0.14285714285714288
Class 110,0.11764705882352941
Class 111,0.2727272727272727
Class 112,0.11111111111111112
Class 113,0.14285714285714288
Class 114,0.24
Class 116,0.14285714285714288
Class 117,0.15384615384615383
Class 118,0.15384615384615385
Class 119,0.33333333333333337
Class 120,0.0
Class 121,0.3157894736842105
Class 123,0.0425531914893617
Class 124,0.05405405405405406
Class 126,0.09523809523809525
