,Precision
Class 1,0.0
Class 2,0.07407407407407407
Class 4,0.11764705882352941
Class 5,0.045454545454545456
Class 6,0.0
Class 10,0.0
Class 11,0.016666666666666666
Class 12,0.0
Class 14,0.5
Class 16,0.0
Class 17,0.0
Class 18,0.0
Class 19,0.25
Class 26,0.0
Class 27,0.0
Class 29,0.11764705882352941
Class 31,0.23076923076923078
Class 32,0.0
Class 33,0.1111111111111111
Class 34,0.3333333333333333
Class 35,0.19230769230769232
Class 37,0.0
Class 38,0.1111111111111111
Class 40,0.16
Class 41,0.15384615384615385
Class 42,0.3333333333333333
Class 43,0.14285714285714285
Class 44,0.0
Class 45,0.15
Class 46,0.09090909090909091
Class 47,0.25
Class 49,0.14814814814814814
Class 50,0.2727272727272727
Class 51,0.0
Class 53,0.25
Class 55,0.08333333333333333
Class 56,0.2727272727272727
Class 58,0.0
Class 59,0.06818181818181818
Class 60,0.2
Class 61,0.14285714285714285
Class 62,0.25
Class 65,0.0
Class 66,0.16
Class 67,0.2
Class 68,0.0
Class 70,0.0
Class 71,0.15151515151515152
Class 72,0.0
Class 73,0.08333333333333333
Class 75,0.2857142857142857
Class 77,0.0
Class 79,0.2857142857142857
Class 81,0.16666666666666666
Class 82,0.18421052631578946
Class 86,0.14285714285714285
Class 87,0.14285714285714285
Class 88,0.16666666666666666
Class 90,0.17647058823529413
Class 91,0.2727272727272727
Class 95,0.25
Class 96,0.16666666666666666
Class 100,0.12962962962962962
Class 101,0.0
Class 102,0.3333333333333333
Class 103,0.0
Class 104,0.2
Class 105,0.18181818181818182
Class 106,0.14285714285714285
Class 109,0.25
Class 110,0.14285714285714285
Class 111,0.25
Class 112,0.125
Class 113,0.25
Class 114,0.2
Class 116,0.25
Class 117,0.3333333333333333
Class 118,0.125
Class 119,0.23076923076923078
Class 120,0.0
Class 121,0.21428571428571427
Class 123,0.02702702702702703
Class 124,0.037037037037037035
Class 126,0.09090909090909091
