Epoch 1 - Loss: 0.255, MAE: 0.352, R²: 0.742, LR: 0.001
Epoch 2 - Loss: 0.345, MAE: 0.338, R²: 0.731, LR: 0.001
Epoch 3 - Loss: 0.088, MAE: 0.305, R²: 0.778, LR: 0.001
Epoch 4 - Loss: 0.307, MAE: 0.296, R²: 0.778, LR: 0.001
Epoch 5 - Loss: 0.258, MAE: 0.305, R²: 0.788, LR: 0.001
Epoch 6 - Loss: 0.175, MAE: 0.252, R²: 0.842, LR: 0.001
Epoch 7 - Loss: 0.232, MAE: 0.272, R²: 0.823, LR: 0.001
Epoch 8 - Loss: 0.140, MAE: 0.245, R²: 0.852, LR: 0.001
Epoch 9 - Loss: 0.096, MAE: 0.257, R²: 0.821, LR: 0.001
Epoch 10 - Loss: 0.116, MAE: 0.258, R²: 0.815, LR: 0.001
Epoch 11 - Loss: 0.129, MAE: 0.236, R²: 0.857, LR: 0.001
Epoch 12 - Loss: 0.073, MAE: 0.230, R²: 0.863, LR: 0.001
Epoch 13 - Loss: 0.155, MAE: 0.281, R²: 0.770, LR: 0.001
Epoch 14 - Loss: 0.091, MAE: 0.238, R²: 0.852, LR: 0.001
Epoch 15 - Loss: 0.053, MAE: 0.232, R²: 0.846, LR: 0.001
Epoch 16 - Loss: 0.093, MAE: 0.255, R²: 0.819, LR: 0.001
Epoch 17 - Loss: 0.050, MAE: 0.232, R²: 0.844, LR: 0.001
Epoch 18 - Loss: 0.210, MAE: 0.222, R²: 0.856, LR: 0.001
Epoch 19 - Loss: 0.114, MAE: 0.234, R²: 0.839, LR: 0.001
Epoch 20 - Loss: 0.067, MAE: 0.229, R²: 0.854, LR: 0.001
Epoch 21 - Loss: 0.119, MAE: 0.234, R²: 0.831, LR: 0.001
Epoch 22 - Loss: 0.074, MAE: 0.223, R²: 0.856, LR: 0.001
Epoch 23 - Loss: 0.174, MAE: 0.215, R²: 0.862, LR: 0.001
Epoch 24 - Loss: 0.093, MAE: 0.231, R²: 0.836, LR: 0.001
Epoch 25 - Loss: 0.090, MAE: 0.224, R²: 0.848, LR: 0.001
Epoch 26 - Loss: 0.046, MAE: 0.229, R²: 0.843, LR: 0.001
Epoch 27 - Loss: 0.048, MAE: 0.237, R²: 0.835, LR: 0.001
Epoch 28 - Loss: 0.094, MAE: 0.210, R²: 0.869, LR: 0.001
Epoch 29 - Loss: 0.026, MAE: 0.214, R²: 0.855, LR: 0.001
Epoch 30 - Loss: 0.023, MAE: 0.225, R²: 0.837, LR: 0.001
Epoch 31 - Loss: 0.075, MAE: 0.232, R²: 0.838, LR: 0.001
Epoch 32 - Loss: 0.076, MAE: 0.214, R²: 0.857, LR: 0.001
Epoch 33 - Loss: 0.119, MAE: 0.219, R²: 0.866, LR: 0.001
Epoch 34 - Loss: 0.047, MAE: 0.219, R²: 0.847, LR: 0.001
Epoch 35 - Loss: 0.109, MAE: 0.228, R²: 0.831, LR: 0.001
Epoch 36 - Loss: 0.112, MAE: 0.215, R²: 0.854, LR: 0.001
Epoch 37 - Loss: 0.050, MAE: 0.217, R²: 0.853, LR: 0.001
Epoch 38 - Loss: 0.127, MAE: 0.222, R²: 0.842, LR: 0.001
Epoch 39 - Loss: 0.016, MAE: 0.221, R²: 0.844, LR: 0.001
Epoch 40 - Loss: 0.062, MAE: 0.234, R²: 0.817, LR: 0.001
Epoch 41 - Loss: 0.052, MAE: 0.243, R²: 0.789, LR: 0.001
Epoch 42 - Loss: 0.049, MAE: 0.233, R²: 0.820, LR: 0.001
Epoch 43 - Loss: 0.067, MAE: 0.221, R²: 0.834, LR: 0.001
Epoch 44 - Loss: 0.070, MAE: 0.220, R²: 0.839, LR: 0.001
Epoch 45 - Loss: 0.038, MAE: 0.226, R²: 0.835, LR: 0.001
Epoch 46 - Loss: 0.031, MAE: 0.228, R²: 0.826, LR: 0.001
Epoch 47 - Loss: 0.039, MAE: 0.220, R²: 0.836, LR: 0.001
Epoch 48 - Loss: 0.049, MAE: 0.216, R²: 0.844, LR: 0.001
Epoch 49 - Loss: 0.025, MAE: 0.231, R²: 0.819, LR: 0.001
Epoch 50 - Loss: 0.118, MAE: 0.222, R²: 0.826, LR: 0.0002
