Epoch 1 - Loss: 0.326, MAE: 0.562, R²: 0.411, LR: 0.001
Epoch 2 - Loss: 0.162, MAE: 0.332, R²: 0.777, LR: 0.001
Epoch 3 - Loss: 0.227, MAE: 0.337, R²: 0.761, LR: 0.001
Epoch 4 - Loss: 0.099, MAE: 0.308, R²: 0.793, LR: 0.001
Epoch 5 - Loss: 0.261, MAE: 0.315, R²: 0.784, LR: 0.001
Epoch 6 - Loss: 0.167, MAE: 0.306, R²: 0.796, LR: 0.001
Epoch 7 - Loss: 0.092, MAE: 0.291, R²: 0.807, LR: 0.001
Epoch 8 - Loss: 0.517, MAE: 0.294, R²: 0.811, LR: 0.001
Epoch 9 - Loss: 0.088, MAE: 0.291, R²: 0.800, LR: 0.001
Epoch 10 - Loss: 0.261, MAE: 0.284, R²: 0.815, LR: 0.001
Epoch 11 - Loss: 0.158, MAE: 0.289, R²: 0.806, LR: 0.001
Epoch 12 - Loss: 0.067, MAE: 0.276, R²: 0.814, LR: 0.001
Epoch 13 - Loss: 0.054, MAE: 0.294, R²: 0.788, LR: 0.001
Epoch 14 - Loss: 0.090, MAE: 0.277, R²: 0.812, LR: 0.001
Epoch 15 - Loss: 0.085, MAE: 0.295, R²: 0.796, LR: 0.001
Epoch 1 - Loss: 0.430, MAE: 0.316, R²: 0.765, LR: 0.001
Epoch 2 - Loss: 0.092, MAE: 0.260, R²: 0.833, LR: 0.001
Epoch 3 - Loss: 0.127, MAE: 0.279, R²: 0.819, LR: 0.001
Epoch 4 - Loss: 0.101, MAE: 0.309, R²: 0.768, LR: 0.001
Epoch 5 - Loss: 0.080, MAE: 0.298, R²: 0.776, LR: 0.001
Epoch 6 - Loss: 0.091, MAE: 0.256, R²: 0.842, LR: 0.001
Epoch 7 - Loss: 0.082, MAE: 0.267, R²: 0.823, LR: 0.001
Epoch 8 - Loss: 0.068, MAE: 0.297, R²: 0.781, LR: 0.001
Epoch 9 - Loss: 0.364, MAE: 0.264, R²: 0.820, LR: 0.001
Epoch 10 - Loss: 0.058, MAE: 0.307, R²: 0.746, LR: 0.001
Epoch 11 - Loss: 0.325, MAE: 0.249, R²: 0.846, LR: 0.001
Epoch 12 - Loss: 0.077, MAE: 0.262, R²: 0.829, LR: 0.001
Epoch 13 - Loss: 0.055, MAE: 0.252, R²: 0.834, LR: 0.001
Epoch 14 - Loss: 0.175, MAE: 0.263, R²: 0.808, LR: 0.001
Epoch 15 - Loss: 0.101, MAE: 0.281, R²: 0.767, LR: 0.001
Epoch 1 - Loss: 0.185, MAE: 0.255, R²: 0.843, LR: 0.001
Epoch 2 - Loss: 0.070, MAE: 0.243, R²: 0.853, LR: 0.001
Epoch 3 - Loss: 0.088, MAE: 0.243, R²: 0.849, LR: 0.001
Epoch 4 - Loss: 0.122, MAE: 0.237, R²: 0.853, LR: 0.001
Epoch 5 - Loss: 0.070, MAE: 0.232, R²: 0.847, LR: 0.001
Epoch 6 - Loss: 0.036, MAE: 0.243, R²: 0.849, LR: 0.001
Epoch 7 - Loss: 0.161, MAE: 0.231, R²: 0.853, LR: 0.001
Epoch 8 - Loss: 0.106, MAE: 0.226, R²: 0.850, LR: 0.001
Epoch 9 - Loss: 0.094, MAE: 0.232, R²: 0.859, LR: 0.001
Epoch 10 - Loss: 0.060, MAE: 0.229, R²: 0.850, LR: 0.001
Epoch 11 - Loss: 0.104, MAE: 0.222, R²: 0.860, LR: 0.001
Epoch 12 - Loss: 0.147, MAE: 0.224, R²: 0.861, LR: 0.001
Epoch 13 - Loss: 0.110, MAE: 0.224, R²: 0.847, LR: 0.001
Epoch 14 - Loss: 0.110, MAE: 0.262, R²: 0.811, LR: 0.001
Epoch 15 - Loss: 0.169, MAE: 0.244, R²: 0.821, LR: 0.001
